Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
138,Tommy Doyle,eng ENG,MF,Wolves,23-127,2001,5.2,3.08,3.06,1.92,0.77,0.19,0.19,0,0,0.58,0.57,0.38,0,0.19,0,0,0,Matches
139,Radu Dragusin,ro ROU,DF,Tottenham,23-018,2002,13.9,0.58,0.58,0.58,0,0,0,0,0,0.07,0.07,0.07,0,0,0,0,0,Matches
140,Martin Dúbravka,sk SVK,GK,Newcastle Utd,36-037,1989,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
141,Lewis Dunk,eng ENG,DF,Brighton,33-092,1991,17.4,0.92,0.92,0.8,0,0,0.11,0,0,0.17,0.17,0.11,0,0,0.06,0,0,Matches
142,Jader Duran,co COL,FW,Aston Villa,21-070,2003,7.1,2.54,2.54,1.27,0,0,0.56,0.42,0.28,0.14,0.14,0,0,0,0,0,0.14,Matches
143,Ederson,br BRA,GK,Manchester City,31-188,1993,16,0.31,0.31,0.31,0,0,0,0,0,0.19,0.19,0.19,0,0,0,0,0,Matches
144,George Edmundson,eng ENG,DF,Ipswich Town,27-174,1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
145,Odsonne Edouard,fr FRA,"MF,FW",Crystal Palace,27-036,1998,1.3,0.77,0.78,0.77,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
146,Odsonne Edouard,fr FRA,FW,Leicester City,27-036,1998,0.3,6.67,6.21,6.67,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
147,Samuel Edozie,eng ENG,"DF,FW",Southampton,22-024,2003,0.7,5.71,5.54,4.29,0,0,0,1.43,0,0,0,0,0,0,0,0,0,Matches
148,Ronnie Edwards,eng ENG,DF,Southampton,21-330,2003,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
149,Anthony Elanga,se SWE,"FW,MF",Nott'ham Forest,22-300,2002,17.2,3.9,3.9,2.33,0.7,0.23,0.23,0.41,0,0.64,0.64,0.41,0.12,0.06,0,0.06,0,Matches
150,Harvey Elliott,eng ENG,"MF,FW",Liverpool,21-323,2003,0.9,5.56,5.49,3.33,2.22,0,0,0,0,2.22,2.2,2.22,0,0,0,0,0,Matches
151,Yunus Emre Konak,tr TUR,"MF,FW",Brentford,19-042,2006,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
152,Julio Enciso,py PAR,"MF,FW",Ipswich Town,21-029,2004,1.3,4.62,4.66,2.31,0.77,0.77,0,0,0.77,0.77,0.78,0,0.77,0,0,0,0,Matches
153,Julio Enciso,py PAR,"MF,FW",Brighton,21-029,2004,3.3,3.64,3.69,1.52,0.3,0.91,0.3,0.61,0,0,0,0,0,0,0,0,0,Matches
154,Wataru Endo,jp JPN,MF,Liverpool,32-012,1993,1.2,1.67,1.68,1.67,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
155,Christian Eriksen,dk DEN,MF,Manchester Utd,33-007,1992,7.1,3.8,3.8,2.39,1.41,0,0,0,0,0.85,0.85,0.56,0.28,0,0,0,0,Matches
156,Romain Esse,eng ENG,MF,Crystal Palace,19-284,2005,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
157,Pervis Estupinan,ec ECU,DF,Brighton,27-031,1998,15.7,2.29,2.29,1.53,0.57,0,0.13,0.06,0,0.25,0.25,0.19,0,0,0,0.06,0,Matches
158,Evanilson,br BRA,FW,Bournemouth,25-138,1999,15.2,2.76,2.76,1.64,0,0.2,0.39,0.53,0,0.46,0.46,0.07,0,0.07,0.07,0.26,0,Matches
159,Jonny Evans,nir NIR,DF,Manchester Utd,37-049,1988,3.2,0.63,0.62,0.63,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
160,Eberechi Eze,eng ENG,"MF,FW",Crystal Palace,26-237,1998,18.4,4.84,4.84,2.55,1.14,0.38,0.43,0.33,0,0.38,0.38,0.33,0.05,0,0,0,0,Matches
161,Lukasz Fabianski,pl POL,GK,West Ham,39-309,1985,11.9,0.25,0.25,0.17,0.08,0,0,0,0,0,0,0,0,0,0,0,0,Matches
162,Wout Faes,be BEL,DF,Leicester City,26-324,1998,19.3,0.41,0.41,0.31,0,0,0.05,0,0.05,0,0,0,0,0,0,0,0,Matches
163,Abdul Fatawu Issahaku,gh GHA,FW,Leicester City,20-350,2004,6.4,2.66,2.64,1.56,0,0.31,0.16,0.63,0,0.47,0.47,0.31,0,0,0.16,0,0,Matches
164,Joao Felix,pt POR,"FW,MF",Chelsea,25-103,1999,4.1,4.39,4.38,2.93,0,0.49,0.73,0.24,0,0.73,0.73,0.24,0,0.24,0,0.24,0,Matches
165,Evan Ferguson,ie IRL,FW,West Ham,20-125,2004,0.5,6,6,2,0,2,2,0,0,0,0,0,0,0,0,0,0,Matches
166,Evan Ferguson,ie IRL,FW,Brighton,20-125,2004,2.7,1.48,1.47,1.11,0,0.37,0,0,0,0,0,0,0,0,0,0,0,Matches
167,Bruno Fernandes,pt POR,MF,Manchester Utd,30-166,1994,22.4,5.22,5.23,3.66,0.94,0.13,0.18,0.27,0.04,0.36,0.36,0.31,0.04,0,0,0,0,Matches
168,Mateus Fernandes,pt POR,MF,Southampton,20-226,2004,20.3,2.46,2.46,1.43,0.54,0.15,0.2,0.1,0.05,0.25,0.25,0.15,0.05,0,0,0,0.05,Matches
169,Enzo Fernandez,ar ARG,MF,Chelsea,24-035,2001,19.8,4.39,4.4,3.43,0.45,0.05,0.15,0.05,0.25,0.61,0.61,0.45,0.1,0,0.05,0,0,Matches
170,Mark Flekken,nl NED,GK,Brentford,31-253,1993,23.4,0.21,0.21,0.09,0.13,0,0,0,0,0.04,0.04,0,0.04,0,0,0,0,Matches
171,Phil Foden,eng ENG,"MF,FW",Manchester City,24-269,2000,16,4.63,4.63,3,1.06,0.13,0.31,0.13,0,0.56,0.56,0.31,0.06,0,0.19,0,0,Matches
172,Wesley Fofana,fr FRA,DF,Chelsea,24-066,2000,11.3,0.97,0.98,0.8,0.09,0.09,0,0,0,0,0,0,0,0,0,0,0,Matches
173,Carlos Forbs,pt POR,"MF,FW",Wolves,20-339,2004,2.6,1.92,1.91,1.15,0,0.77,0,0,0,0.38,0.38,0.38,0,0,0,0,0,Matches
174,Fraser Forster,eng ENG,GK,Tottenham,36-341,1988,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
175,Ryan Fraser,sct SCO,"FW,DF",Southampton,30-363,1994,3.4,1.47,1.47,1.47,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
176,Niclas Fullkrug,de GER,FW,West Ham,32-012,1993,4.1,2.68,2.67,2.44,0,0,0.24,0,0,0.24,0.24,0,0,0,0.24,0,0,Matches
177,Cody Gakpo,nl NED,FW,Liverpool,25-290,1999,15.2,3.95,3.94,3.03,0,0.39,0.26,0.2,0.07,0.39,0.39,0.2,0,0.13,0,0.07,0,Matches
178,Idrissa Gana Gueye,sn SEN,MF,Everton,35-148,1989,21.4,1.78,1.78,1.54,0,0,0.09,0.09,0.05,0.09,0.09,0.09,0,0,0,0,0,Matches
179,Andres Garcia,es ESP,DF,Aston Villa,22-014,2003,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
180,Alejandro Garnacho,ar ARG,"FW,MF",Manchester Utd,20-235,2004,15.7,2.87,2.87,2.17,0.06,0.19,0.32,0.13,0,0.13,0.13,0.06,0,0,0.06,0,0,Matches
181,James Garner,eng ENG,"MF,DF",Everton,23-345,2001,5.8,2.59,2.58,1.9,0.69,0,0,0,0,0.52,0.52,0.34,0.17,0,0,0,0,Matches
182,Tyrique George,eng ENG,FW,Chelsea,19-017,2006,0.4,2.5,2.73,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,Matches
183,Morgan Gibbs-White,eng ENG,MF,Nott'ham Forest,25-025,2000,18.4,3.86,3.85,3.21,0,0.11,0.27,0.22,0.05,0.65,0.65,0.49,0,0,0.11,0.05,0,Matches
184,Billy Gilmour,sct SCO,MF,Brighton,23-255,2001,1.1,2.73,2.76,2.73,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
185,Ben Godfrey,eng ENG,DF,Ipswich Town,27-037,1998,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
186,Martial Godo,eng ENG,FW,Fulham,21-344,2003,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
187,Joao Gomes,br BRA,MF,Wolves,24-009,2001,21.5,1.81,1.82,1.58,0.05,0.14,0,0,0.05,0.09,0.09,0.09,0,0,0,0,0,Matches
188,Rodrigo Gomes,pt POR,"DF,FW",Wolves,21-229,2003,6.3,2.22,2.22,1.9,0,0.16,0.16,0,0,0,0,0,0,0,0,0,0,Matches
189,Toti Gomes,pt POR,DF,Wolves,26-036,1999,16,0.75,0.75,0.75,0,0,0,0,0,0.06,0.06,0.06,0,0,0,0,0,Matches
190,Diego Gómez,py PAR,MF,Brighton,21-331,2003,0.7,1.43,1.43,1.43,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
191,Joe Gomez,eng ENG,DF,Liverpool,27-274,1997,5.8,0.86,0.87,0.86,0,0,0,0,0,0.17,0.17,0.17,0,0,0,0,0,Matches
192,Nicolas Gonzalez,es ESP,MF,Manchester City,23-049,2002,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
193,Anthony Gordon,eng ENG,FW,Newcastle Utd,23-363,2001,21.4,4.3,4.3,3.08,0.47,0.33,0.14,0.28,0,0.51,0.51,0.37,0.05,0.05,0,0.05,0,Matches
194,Ryan Gravenberch,nl NED,MF,Liverpool,22-281,2002,24.7,1.98,1.98,1.78,0,0.08,0.08,0,0.04,0.24,0.24,0.24,0,0,0,0,0,Matches
195,Archie Gray,eng ENG,DF,Tottenham,18-346,2006,10.8,0.19,0.18,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
196,Jack Grealish,eng ENG,"FW,MF",Manchester City,29-164,1995,6.8,5.88,5.91,5.15,0.15,0.44,0,0,0.15,0.29,0.3,0.15,0,0,0,0,0.15,Matches
197,Jacob Greaves,eng ENG,DF,Ipswich Town,24-162,2000,15,0.53,0.53,0.53,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
198,Brajan Gruda,de GER,"FW,MF",Brighton,20-266,2004,4.1,3.9,3.91,2.93,0.24,0.49,0,0.24,0,0,0,0,0,0,0,0,0,Matches
199,Albert Gronbaek,dk DEN,MF,Southampton,23-274,2001,0.8,1.25,1.3,0,0,0,1.25,0,0,0,0,0,0,0,0,0,0,Matches
200,Gonçalo Guedes,pt POR,"MF,FW",Wolves,28-084,1996,8.2,2.68,2.68,2.44,0,0.12,0,0.12,0,0.98,0.97,0.85,0,0.12,0,0,0,Matches
201,Marc Guehi,eng ENG,DF,Crystal Palace,24-223,2000,24,1,1,0.79,0,0,0.13,0.08,0,0.13,0.12,0.13,0,0,0,0,0,Matches
202,Luis Guilherme,br BRA,"MF,FW",West Ham,19-012,2006,0.6,10,9.47,5,1.67,0,1.67,1.67,0,0,0,0,0,0,0,0,0,Matches
203,Bruno Guimaraes,br BRA,MF,Newcastle Utd,27-097,1997,24,3.54,3.55,3.17,0.08,0.08,0,0.13,0.08,0.58,0.58,0.54,0.04,0,0,0,0,Matches
204,Marc Guiu,es ESP,FW,Chelsea,19-048,2006,0.8,1.25,1.22,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
205,Ilkay Gundogan,de GER,MF,Manchester City,34-120,1990,15.9,3.14,3.15,2.64,0.25,0.19,0.06,0,0,0.38,0.38,0.31,0.06,0,0,0,0,Matches
206,Malo Gusto,fr FRA,DF,Chelsea,21-278,2003,15.2,2.63,2.64,2.57,0,0,0.07,0,0,0.2,0.2,0.2,0,0,0,0,0,Matches
207,Josko Gvardiol,hr CRO,DF,Manchester City,23-029,2002,23.4,2.26,2.26,2.14,0,0.09,0.04,0,0,0.26,0.26,0.21,0,0.04,0,0,0,Matches
208,Erling Haaland,no NOR,FW,Manchester City,24-215,2000,24.6,2.36,2.36,1.59,0,0.33,0.41,0.04,0,0.28,0.29,0.16,0,0.08,0.04,0,0,Matches
209,Lewis Hall,eng ENG,DF,Newcastle Utd,20-166,2004,22.3,2.65,2.64,1.88,0.72,0,0,0.04,0,0.18,0.18,0.13,0.04,0,0,0,0,Matches
210,Ali Al Hamadi,iq IRQ,FW,Ipswich Town,22-357,2002,1.5,5.33,5.37,2.67,0,2,0,0.67,0,0,0,0,0,0,0,0,0,Matches
211,Marcus Harness,eng ENG,MF,Ipswich Town,28-363,1996,0.5,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
212,Jack Harrison,eng ENG,FW,Everton,28-093,1996,12.8,2.27,2.25,1.72,0.16,0.08,0.08,0.23,0,0.16,0.16,0.08,0,0,0,0.08,0,Matches
213,Taylor Harwood-Bellis,eng ENG,DF,Southampton,23-022,2002,21.1,1.37,1.38,1.14,0,0,0.14,0.05,0.05,0.09,0.09,0.05,0,0,0.05,0,0,Matches
214,Kai Havertz,de GER,"FW,MF",Arsenal,25-255,1999,20.4,2.01,2.01,1.67,0,0.05,0.29,0,0,0.15,0.15,0.1,0,0,0.05,0,0,Matches
215,Jan Paul van Hecke,nl NED,DF,Brighton,24-258,2000,21.9,1.87,1.87,1.69,0.05,0,0.14,0,0,0.14,0.14,0.14,0,0,0,0,0,Matches
216,Hwang Hee-chan,kr KOR,"MF,FW",Wolves,29-026,1996,6.9,1.3,1.3,1.16,0,0,0.14,0,0,0.14,0.14,0.14,0,0,0,0,0,Matches
217,Dean Henderson,eng ENG,GK,Crystal Palace,27-346,1997,25,0.08,0.08,0.04,0.04,0,0,0,0,0,0,0,0,0,0,0,0,Matches
218,Rico Henry,eng ENG,DF,Brentford,27-228,1997,0,1,22.5,1,0,0,0,0,0,1,22.5,1,0,0,0,0,0,Matches
219,Mads Hermansen,dk DEN,GK,Leicester City,24-225,2000,17.5,0.11,0.11,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
220,Son Heung-min,kr KOR,FW,Tottenham,32-228,1992,18.6,5.16,5.17,3.87,0.38,0.54,0.22,0.16,0,0.59,0.59,0.59,0,0,0,0,0,Matches
221,James Hill,eng ENG,"DF,MF",Bournemouth,23-042,2002,2,3,3.03,1.5,1,0,0,0,0.5,0.5,0.51,0.5,0,0,0,0,0,Matches
222,Jack Hinshelwood,eng ENG,"MF,DF",Brighton,19-316,2005,10.8,1.94,1.94,1.39,0.37,0,0.09,0.09,0,0.19,0.18,0.19,0,0,0,0,0,Matches
223,George Hirst,eng ENG,FW,Ipswich Town,26-006,1999,2.6,2.31,2.35,1.92,0,0,0.38,0,0,0.77,0.78,0.38,0,0,0.38,0,0,Matches
224,Mason Holgate,eng ENG,"FW,DF",Everton,28-122,1996,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
225,Callum Hudson-Odoi,eng ENG,"FW,MF",Nott'ham Forest,24-106,2000,17.2,4.24,4.24,3.2,0.17,0.52,0.17,0.17,0,0.58,0.58,0.35,0,0.12,0,0.12,0,Matches
226,Will Hughes,eng ENG,MF,Crystal Palace,29-310,1995,16.6,3.25,3.25,2.05,0.78,0.06,0.12,0.24,0,0.36,0.36,0.12,0.18,0,0.06,0,0,Matches
227,Dean Huijsen,es ESP,DF,Bournemouth,19-313,2005,14.8,1.76,1.75,1.55,0.07,0,0.07,0.07,0,0.14,0.13,0.14,0,0,0,0,0,Matches
228,Omari Hutchinson,eng ENG,"MF,FW",Ipswich Town,21-114,2003,21.7,2.44,2.44,1.75,0,0.37,0.14,0.09,0.09,0.23,0.23,0.23,0,0,0,0,0,Matches
229,Rasmus Hojlund,dk DEN,FW,Manchester Utd,22-017,2003,13.3,1.65,1.65,1.05,0,0.15,0.23,0.23,0,0.08,0.07,0,0,0,0,0.08,0,Matches
230,Igor,br BRA,DF,Brighton,27-014,1998,10,1.1,1.1,1,0,0,0,0.1,0,0,0,0,0,0,0,0,0,Matches
231,Danny Ings,eng ENG,"FW,MF",West Ham,32-213,1992,3.1,3.87,3.9,2.26,0,0.32,0.97,0.32,0,0.65,0.65,0,0,0,0.32,0.32,0,Matches
232,Tim Iroegbunam,eng ENG,MF,Everton,21-236,2003,4.6,2.17,2.19,1.3,0,0.22,0,0.22,0.43,0.22,0.22,0.22,0,0,0,0,0,Matches
233,Andy Irving,sct SCO,MF,West Ham,24-284,2000,1.8,2.78,2.69,2.22,0,0.56,0,0,0,0,0,0,0,0,0,0,0,Matches
234,Alexander Isak,se SWE,FW,Newcastle Utd,25-153,1999,21,3.48,3.48,2.62,0.05,0.38,0.24,0.1,0.1,0.52,0.52,0.38,0,0.05,0,0.05,0.05,Matches
235,Alex Iwobi,ng NGA,"FW,MF",Fulham,28-294,1996,23.4,4.4,4.4,3.8,0,0.3,0.21,0.09,0,0.51,0.51,0.43,0,0.09,0,0,0,Matches
236,Nicolas Jackson,sn SEN,FW,Chelsea,23-246,2001,19.3,3.21,3.22,1.92,0,0.47,0.36,0.41,0.05,0.52,0.52,0.36,0,0.1,0.05,0,0,Matches
237,Reece James,eng ENG,DF,Chelsea,25-075,1999,5.7,1.93,1.94,1.4,0.35,0,0.18,0,0,0.18,0.18,0,0,0,0.18,0,0,Matches
238,Vitaly Janelt,de GER,MF,Brentford,26-287,1998,19.9,1.21,1.2,1.16,0.05,0,0,0,0,0.15,0.15,0.15,0,0,0,0,0,Matches
239,Vitezslav Jaros,cz CZE,GK,Liverpool,23-213,2001,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
240,Daniel Jebbison,eng ENG,"FW,MF",Bournemouth,21-192,2003,0.7,7.14,7.26,5.71,0,1.43,0,0,0,0,0,0,0,0,0,0,0,Matches
241,Mathias Jensen,dk DEN,MF,Brentford,29-051,1996,8,4.25,4.25,3.13,1,0.13,0,0,0,0.38,0.37,0.13,0.13,0.13,0,0,0,Matches
242,Gabriel Jesus,br BRA,FW,Arsenal,27-324,1997,6.8,2.65,2.66,1.47,0,0.15,0.74,0.15,0.15,0.59,0.59,0.15,0,0,0.44,0,0,Matches
243,Raul Jimenez,mx MEX,FW,Fulham,33-292,1991,17.7,2.43,2.42,1.53,0.06,0.11,0.45,0.23,0.06,0.34,0.34,0.17,0,0,0.06,0.06,0.06,Matches
244,Kim Jisoo,kr KOR,DF,Brentford,20-059,2004,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
245,Joao Pedro,br BRA,"FW,MF",Brighton,23-148,2001,15.1,2.98,2.98,2.32,0,0.13,0.13,0.4,0,0.4,0.4,0.33,0,0,0,0.07,0,Matches
246,Joelinton,br BRA,"MF,FW",Newcastle Utd,28-191,1996,21.3,2.25,2.26,1.78,0.09,0,0.19,0.05,0.14,0.28,0.28,0.28,0,0,0,0,0,Matches
247,Ben Johnson,eng ENG,"DF,FW",Ipswich Town,25-028,2000,10.2,1.47,1.47,0.78,0.39,0,0.1,0.2,0,0.39,0.39,0.29,0,0,0.1,0,0,Matches
248,Brennan Johnson,wls WAL,FW,Tottenham,23-274,2001,16.9,2.25,2.25,1.54,0,0.3,0.24,0.12,0.06,0.36,0.36,0.3,0,0.06,0,0,0,Matches
249,Sam Johnstone,eng ENG,GK,Wolves,31-333,1993,7,0.29,0.29,0.29,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
250,Curtis Jones,eng ENG,MF,Liverpool,24-022,2001,11.6,2.33,2.32,2.07,0,0,0.17,0.09,0,0.52,0.52,0.34,0,0,0.09,0.09,0,Matches
251,Jorginho,it ITA,MF,Arsenal,33-063,1991,5.3,1.32,1.33,1.13,0,0,0,0.19,0,0,0,0,0,0,0,0,0,Matches
252,Diogo Jota,pt POR,FW,Liverpool,28-079,1996,8.4,3.1,3.08,1.79,0,0.6,0.48,0.12,0.12,0.71,0.71,0.48,0,0.12,0,0.12,0,Matches
253,James Justin,eng ENG,DF,Leicester City,26-364,1998,22.4,1.21,1.2,0.71,0.09,0.04,0.18,0.18,0,0.04,0.04,0.04,0,0,0,0,0,Matches
254,Filip Jorgensen,dk DEN,GK,Chelsea,22-311,2002,4,0.25,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
255,Ferdi Kadioglu,tr TUR,"DF,MF",Brighton,25-137,1999,4.3,3.02,3.03,2.56,0,0,0,0.23,0.23,0.47,0.47,0.47,0,0,0,0,0,Matches
256,Daichi Kamada,jp JPN,MF,Crystal Palace,28-200,1996,10.4,3.27,3.26,2.69,0.29,0,0.1,0,0.19,0.1,0.1,0,0.1,0,0,0,0,Matches
257,Boubacar Kamara,fr FRA,"MF,DF",Aston Villa,25-090,1999,11.7,1.37,1.37,1.03,0.09,0.09,0,0,0.17,0.17,0.17,0.17,0,0,0,0,0,Matches
258,Michael Kayode,it ITA,DF,Brentford,20-226,2004,0.2,10,11.25,5,5,0,0,0,0,0,0,0,0,0,0,0,0,Matches
259,Michael Keane,eng ENG,DF,Everton,32-041,1993,9,0.67,0.66,0.67,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
260,Caoimhin Kelleher,ie IRL,GK,Liverpool,26-090,1998,8,0.38,0.37,0.38,0,0,0,0,0,0.13,0.12,0.13,0,0,0,0,0,Matches
261,Lloyd Kelly,eng ENG,DF,Newcastle Utd,26-138,1998,3.4,0.59,0.59,0.59,0,0,0,0,0,0.29,0.3,0.29,0,0,0,0,0,Matches
262,Milos Kerkez,hu HUN,DF,Bournemouth,21-106,2003,24.2,2.23,2.23,1.9,0.12,0.04,0.04,0.04,0.08,0.25,0.25,0.21,0,0.04,0,0,0,Matches
263,Bilal El Khannouss,ma MAR,MF,Leicester City,20-287,2004,13.2,2.42,2.43,1.97,0.15,0.23,0.08,0,0,0.15,0.15,0.15,0,0,0,0,0,Matches
264,Abdukodir Khusanov,uz UZB,DF,Manchester City,20-358,2004,1.6,0.63,0.63,0.63,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
265,Max Kilman,eng ENG,DF,West Ham,27-274,1997,24.2,0.74,0.74,0.66,0,0.08,0,0,0,0.12,0.12,0.08,0,0.04,0,0,0,Matches
266,Joshua King,eng ENG,"MF,FW",Fulham,18-049,2007,0.9,4.44,4.5,3.33,0,1.11,0,0,0,0,0,0,0,0,0,0,0,Matches
267,Antonin Kinsky,cz CZE,GK,Tottenham,21-345,2003,4,0.25,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
268,Jakub Kiwior,pl POL,DF,Arsenal,25-006,2000,3.6,0.28,0.28,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
269,Justin Kluivert,nl NED,"MF,FW",Bournemouth,25-292,1999,17.8,3.71,3.7,2.98,0.17,0.28,0.11,0.11,0.06,0.56,0.56,0.51,0,0,0,0.06,0,Matches
270,Ibrahima Konaté,fr FRA,DF,Liverpool,25-272,1999,18,1.22,1.22,1.11,0,0,0.11,0,0,0.28,0.28,0.28,0,0,0,0,0,Matches
271,Ezri Konsa,eng ENG,DF,Aston Villa,27-121,1997,21.1,0.76,0.76,0.57,0.09,0.05,0.05,0,0,0.14,0.14,0.14,0,0,0,0,0,Matches
272,Mateo Kovacic,hr CRO,MF,Manchester City,30-291,1994,17.2,3.02,3.02,2.44,0,0.17,0.23,0.12,0.06,0.29,0.29,0.17,0,0.06,0.06,0,0,Matches
