Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
273,Caleb Kporha,eng ENG,DF,Crystal Palace,18-221,2006,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
274,Emil Krafth,se SWE,DF,Newcastle Utd,30-203,1994,2.7,1.11,1.12,0.74,0,0,0.37,0,0,0,0,0,0,0,0,0,0,Matches
275,Mohammed Kudus,gh GHA,"MF,FW",West Ham,24-203,2000,18.4,3.97,3.98,2.77,0,0.65,0.38,0.05,0.11,0.11,0.11,0.11,0,0,0,0,0,Matches
276,Dejan Kulusevski,se SWE,"MF,FW",Tottenham,24-302,2000,22.7,5.24,5.25,3.83,0.53,0.66,0.09,0.13,0,0.4,0.4,0.31,0.04,0.04,0,0,0,Matches
277,Maxence Lacroix,fr FRA,DF,Crystal Palace,24-321,2000,21.9,0.96,0.96,0.78,0.05,0,0.14,0,0,0.18,0.18,0.09,0.05,0,0.05,0,0,Matches
278,Adam Lallana,eng ENG,MF,Southampton,36-287,1988,3.8,2.37,2.38,2.11,0,0,0,0.26,0,0.53,0.53,0.53,0,0,0,0,0,Matches
279,Tariq Lamptey,gh GHA,DF,Brighton,24-144,2000,6.8,1.76,1.77,1.62,0.15,0,0,0,0,0.29,0.3,0.29,0,0,0,0,0,Matches
280,Will Lankshear,eng ENG,"FW,MF",Tottenham,19-307,2005,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
281,Romeo Lavia,be BEL,MF,Chelsea,21-046,2004,5.9,1.86,1.86,1.86,0,0,0,0,0,0.34,0.34,0.34,0,0,0,0,0,Matches
282,Mario Lemina,ga GAB,"MF,DF",Wolves,31-173,1993,15.2,1.71,1.71,1.38,0,0.13,0.13,0,0.07,0.33,0.33,0.33,0,0,0,0,0,Matches
283,Bernd Leno,de GER,GK,Fulham,32-354,1992,25,0.16,0.16,0.16,0,0,0,0,0,0.04,0.04,0.04,0,0,0,0,0,Matches
284,Jefferson Lerma,co COL,MF,Crystal Palace,30-119,1994,14.9,2.01,2.02,1.68,0.2,0,0.07,0,0.07,0.07,0.07,0.07,0,0,0,0,0,Matches
285,Rico Lewis,eng ENG,"DF,MF",Manchester City,20-092,2004,16.6,1.57,1.57,1.51,0,0,0,0.06,0,0.12,0.12,0.12,0,0,0,0,0,Matches
286,Keane Lewis-Potter,eng ENG,"DF,FW",Brentford,23-365,2001,22.3,2.06,2.06,1.57,0,0.18,0.09,0.18,0.04,0.27,0.27,0.22,0,0,0,0.04,0,Matches
287,Myles Lewis-Skelly,eng ENG,DF,Arsenal,18-148,2006,7,0.71,0.72,0.71,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
288,Matthijs de Ligt,nl NED,DF,Manchester Utd,25-193,1999,18.2,0.66,0.66,0.55,0,0,0.11,0,0,0,0,0,0,0,0,0,0,Matches
289,Pedro Lima,br BRA,DF,Wolves,18-235,2006,0.7,4.29,4.58,2.86,0,0,0,0,1.43,0,0,0,0,0,0,0,0,Matches
290,Victor Lindelof,se SWE,"DF,MF",Manchester Utd,30-219,1994,0.7,2.86,2.9,2.86,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
291,Jesper Lindstrom,dk DEN,FW,Everton,24-358,2000,11.4,3.68,3.69,2.46,0.61,0.18,0.18,0.18,0.09,0,0,0,0,0,0,0,0,Matches
292,Valentino Livramento,eng ENG,DF,Newcastle Utd,22-101,2002,18.8,1.17,1.17,1.12,0,0,0.05,0,0,0,0,0,0,0,0,0,0,Matches
293,Sean Longstaff,eng ENG,MF,Newcastle Utd,27-114,1997,8.2,1.71,1.71,1.46,0,0.12,0.12,0,0,0.24,0.24,0.12,0,0,0.12,0,0,Matches
294,Sasa Lukic,rs SRB,MF,Fulham,28-192,1996,17.6,2.22,2.22,1.42,0.45,0,0.23,0.06,0.06,0.11,0.11,0.06,0,0,0.06,0,0,Matches
295,Joe Lumley,eng ENG,GK,Southampton,30-006,1995,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
296,Massimo Luongo,au AUS,MF,Ipswich Town,32-149,1992,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
297,Ian Maatsen,nl NED,DF,Aston Villa,22-348,2002,5.7,6.14,6.12,4.74,0.35,0.35,0.53,0,0.18,0.88,0.87,0.88,0,0,0,0,0,Matches
298,Alexis Mac Allister,ar ARG,MF,Liverpool,26-059,1998,21,4.19,4.19,3.33,0.38,0.1,0.24,0.05,0.1,0.48,0.48,0.43,0,0,0.05,0,0,Matches
299,James Maddison,eng ENG,MF,Tottenham,28-090,1996,15.1,4.5,4.5,3.25,0.46,0.26,0.2,0.33,0,0.86,0.86,0.6,0.07,0.13,0.07,0,0,Matches
300,Noni Madueke,eng ENG,FW,Chelsea,22-348,2002,16.1,3.79,3.78,2.73,0,0.5,0.31,0.19,0.06,0.5,0.5,0.31,0,0,0.06,0.06,0.06,Matches
301,Gabriel Magalhaes,br BRA,DF,Arsenal,27-064,1997,22.1,1.31,1.31,1.13,0,0,0.14,0.05,0,0.27,0.27,0.18,0,0,0.05,0.05,0,Matches
302,Edmond-Paris Maghoma,eng ENG,MF,Brentford,23-289,2001,0.9,2.22,2.31,2.22,0,0,0,0,0,1.11,1.15,1.11,0,0,0,0,0,Matches
303,Harry Maguire,eng ENG,DF,Manchester Utd,31-353,1993,13.1,0.84,0.84,0.76,0,0,0.08,0,0,0,0,0,0,0,0,0,0,Matches
304,Kobbie Mainoo,eng ENG,MF,Manchester Utd,19-308,2005,14.3,1.75,1.75,1.47,0,0.21,0,0.07,0,0.07,0.07,0.07,0,0,0,0,0,Matches
305,Tyrell Malacia,nl NED,DF,Manchester Utd,25-188,1999,1.1,1.82,1.8,0.91,0,0,0,0.91,0,0,0,0,0,0,0,0,0,Matches
306,Donyell Malen,nl NED,FW,Aston Villa,26-043,1999,1.7,1.76,1.72,1.18,0,0.59,0,0,0,0,0,0,0,0,0,0,0,Matches
307,Orel Mangala,be BEL,MF,Everton,26-340,1998,14,1.71,1.72,1.21,0.07,0.14,0.21,0.07,0,0.07,0.07,0,0,0,0,0.07,0,Matches
308,Ryan Manning,ie IRL,DF,Southampton,28-252,1996,8.5,2.94,2.93,1.65,1.18,0,0,0,0.12,0,0,0,0,0,0,0,0,Matches
309,Solly March,eng ENG,"MF,DF",Brighton,30-216,1994,0.3,3.33,3.6,3.33,0,0,0,0,0,3.33,3.6,3.33,0,0,0,0,0,Matches
310,Omar Marmoush,eg EGY,"FW,MF",Manchester City,26-014,1999,2.4,3.33,3.29,1.67,0.83,0,0.42,0.42,0,0,0,0,0,0,0,0,0,Matches
311,Gabriel Martinelli,br BRA,"FW,MF",Arsenal,23-248,2001,16.2,2.41,2.41,1.98,0.06,0.25,0.06,0.06,0,0.19,0.19,0.19,0,0,0,0,0,Matches
312,Emiliano Martinez,ar ARG,GK,Aston Villa,32-172,1992,25.5,0.12,0.12,0.08,0.04,0,0,0,0,0,0,0,0,0,0,0,0,Matches
313,Lisandro Martinez,ar ARG,DF,Manchester Utd,27-034,1998,19.5,1.33,1.34,1.18,0,0,0.1,0,0.05,0.1,0.1,0.1,0,0,0,0,0,Matches
314,Pape Matar Sarr,sn SEN,MF,Tottenham,22-160,2002,14.2,2.25,2.25,1.83,0.07,0.14,0.14,0,0.07,0.42,0.42,0.28,0,0.07,0.07,0,0,Matches
315,Jean-Philippe Mateta,fr FRA,FW,Crystal Palace,27-238,1997,21.7,2.07,2.08,1.38,0,0.14,0.41,0.14,0,0.28,0.28,0.09,0,0.09,0.09,0,0,Matches
316,Stephy Mavididi,eng ENG,FW,Leicester City,26-266,1998,14.5,2.9,2.89,2.34,0.14,0.28,0.14,0,0,0.48,0.48,0.41,0,0.07,0,0,0,Matches
317,Konstantinos Mavropanos,gr GRE,DF,West Ham,27-072,1997,16.6,0.78,0.78,0.54,0,0.06,0.12,0,0.06,0,0,0,0,0,0,0,0,Matches
318,Noussair Mazraoui,ma MAR,DF,Manchester Utd,27-099,1997,21.4,1.54,1.55,1.36,0,0,0.05,0.09,0.05,0.05,0.05,0.05,0,0,0,0,0,Matches
319,Bryan Mbeumo,cm CMR,FW,Brentford,25-198,1999,24.9,4.02,4.01,3.01,0.48,0.36,0.04,0.12,0,0.4,0.4,0.32,0,0.08,0,0,0,Matches
320,James Mcatee,eng ENG,"MF,FW",Manchester City,22-126,2002,1.2,0.83,0.87,0.83,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
321,Kasey McAteer,ie IRL,"FW,MF",Leicester City,23-091,2001,4.3,2.79,2.8,2.56,0,0,0,0.23,0,0.23,0.23,0.23,0,0,0,0,0,Matches
322,Alex McCarthy,eng ENG,GK,Southampton,35-080,1989,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
323,John McGinn,sct SCO,"MF,FW",Aston Villa,30-126,1994,17.1,2.98,2.98,2.34,0.29,0,0.18,0.12,0.06,0.23,0.23,0.23,0,0,0,0,0,Matches
324,Dwight McNeil,eng ENG,"MF,FW",Everton,25-091,1999,12.7,4.72,4.74,2.6,1.42,0.31,0.16,0.16,0.08,0.47,0.47,0.24,0.08,0.08,0,0,0.08,Matches
325,Scott McTominay,sct SCO,MF,Manchester Utd,28-075,1996,0.2,5,4.74,0,0,0,5,0,0,0,0,0,0,0,0,0,0,Matches
326,Ben Mee,eng ENG,DF,Brentford,35-153,1989,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
327,Jayden Meghoma,eng ENG,DF,Brentford,18-238,2006,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
328,Mikel Merino,es ESP,MF,Arsenal,28-244,1996,8.8,2.73,2.74,2.27,0,0,0.34,0.11,0,0.34,0.34,0.34,0,0,0,0,0,Matches
329,Nikola Milenkovic,rs SRB,DF,Nott'ham Forest,27-132,1997,24,0.54,0.54,0.38,0,0,0.13,0,0.04,0.08,0.08,0.08,0,0,0,0,0,Matches
330,Lewis Miley,eng ENG,MF,Newcastle Utd,18-296,2006,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
331,James Milner,eng ENG,MF,Brighton,39-048,1986,1.9,4.21,4.26,2.63,1.05,0,0,0.53,0,0,0,0,0,0,0,0,0,Matches
332,Tyrone Mings,eng ENG,DF,Aston Villa,31-345,1993,7,1.86,1.85,1.57,0,0,0.14,0,0.14,0.14,0.14,0,0,0,0.14,0,0,Matches
333,Yankuba Minteh,gm GAM,"FW,MF",Brighton,20-214,2004,10.3,3.3,3.31,1.65,0.68,0.78,0.1,0.1,0,0.68,0.68,0.19,0,0.39,0.1,0,0,Matches
334,Tyrick Mitchell,eng ENG,DF,Crystal Palace,25-173,1999,23.9,2.22,2.22,2.01,0.04,0,0.13,0.04,0,0.17,0.17,0.17,0,0,0,0,0,Matches
335,Kaoru Mitoma,jp JPN,"FW,MF",Brighton,27-277,1997,22,3.27,3.27,2.73,0,0.18,0.14,0.18,0.05,0.36,0.36,0.32,0,0,0,0.05,0,Matches
336,Jakub Moder,pl POL,MF,Brighton,25-320,1999,0.1,40,32.73,40,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
337,Mikey Moore,eng ENG,"FW,MF",Tottenham,17-194,2007,2.1,4.76,4.86,2.86,0.95,0,0.48,0.48,0,0.95,0.97,0.48,0,0,0.48,0,0,Matches
338,Morato,br BRA,DF,Nott'ham Forest,23-236,2001,6.7,0.3,0.3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
339,Alex Moreno,es ESP,DF,Nott'ham Forest,31-258,1993,9,1.22,1.22,1.11,0.11,0,0,0,0,0.22,0.22,0.22,0,0,0,0,0,Matches
340,Sam Morsy,eg EGY,MF,Ipswich Town,33-164,1991,21.1,1.47,1.47,1.33,0.14,0,0,0,0,0.05,0.05,0.05,0,0,0,0,0,Matches
341,Yerson Mosquera,co COL,DF,Wolves,23-295,2001,4.9,1.02,1.02,1.02,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
342,Mason Mount,eng ENG,"MF,FW",Manchester Utd,26-042,1999,2.7,2.96,2.91,1.85,0.74,0,0.37,0,0,0,0,0,0,0,0,0,0,Matches
343,Divin Mubama,eng ENG,FW,Manchester City,20-119,2004,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
344,Mykhailo Mudryk,ua UKR,FW,Chelsea,24-047,2001,1.7,3.53,3.6,2.35,0.59,0,0,0.59,0,0,0,0,0,0,0,0,0,Matches
345,Marshall Munetsi,zw ZIM,FW,Wolves,28-244,1996,0.5,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
346,Rodrigo Muniz,br BRA,FW,Fulham,23-293,2001,7.6,1.32,1.31,0.79,0,0.13,0.13,0.13,0.13,0,0,0,0,0,0,0,0,Matches
347,Daniel Munoz,co COL,DF,Crystal Palace,28-271,1996,23,2.43,2.43,1.91,0.09,0.04,0.22,0.04,0.13,0.22,0.22,0.17,0,0,0.04,0,0,Matches
348,Arijanet Muric,xk KVX,GK,Ipswich Town,26-106,1998,18,0.06,0.06,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,Matches
349,Murillo,br BRA,DF,Nott'ham Forest,22-232,2002,23.5,1.19,1.19,0.77,0.21,0,0.09,0.04,0.09,0.04,0.04,0.04,0,0,0,0,0,Matches
350,Jacob Murphy,eng ENG,FW,Newcastle Utd,29-363,1995,15.9,3.14,3.15,2.45,0.25,0.13,0.06,0.13,0.13,0.57,0.57,0.57,0,0,0,0,0,Matches
351,Vitaliy Mykolenko,ua UKR,DF,Everton,25-268,1999,22.2,1.13,1.12,1.08,0,0,0.05,0,0,0.09,0.09,0.05,0,0,0.05,0,0,Matches
352,Iliman Ndiaye,sn SEN,FW,Everton,24-352,2000,20.9,2.54,2.54,1.91,0,0.33,0,0.29,0,0.24,0.24,0.14,0,0.05,0,0.05,0,Matches
353,Wilfred Ndidi,ng NGA,MF,Leicester City,28-067,1996,14.4,1.11,1.11,0.97,0,0.07,0.07,0,0,0.21,0.21,0.21,0,0,0,0,0,Matches
354,Kosta Nedeljkovic,rs SRB,DF,Aston Villa,19-067,2005,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
355,Reiss Nelson,eng ENG,FW,Arsenal,25-073,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
356,Reiss Nelson,eng ENG,FW,Fulham,25-073,1999,5.4,5.74,5.73,3.89,0.37,0.56,0.74,0,0.19,0.19,0.18,0.19,0,0,0,0,0,Matches
357,Neto,br BRA,GK,Bournemouth,35-217,1989,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
358,Pedro Neto,pt POR,FW,Chelsea,24-349,2000,13.3,3.38,3.39,2.56,0.15,0.38,0.15,0.15,0,0.38,0.38,0.23,0,0.15,0,0,0,Matches
359,Eddie Nketiah,eng ENG,"MF,FW",Crystal Palace,25-267,1999,7,2.86,2.84,1.71,0,0.43,0.14,0.57,0,0.29,0.28,0.14,0,0,0,0.14,0,Matches
360,Christopher Nkunku,fr FRA,FW,Chelsea,27-099,1997,6.1,3.44,3.42,2.46,0,0.66,0.33,0,0,0.33,0.33,0,0,0.16,0.16,0,0,Matches
361,Matheus Nunes,pt POR,"DF,MF",Manchester City,26-178,1998,9.9,3.03,3.02,2.32,0.1,0.2,0.2,0.2,0,0.51,0.5,0.3,0,0.1,0.1,0,0,Matches
362,Darwin Nunez,uy URU,FW,Liverpool,25-242,1999,10,2.1,2.1,1.3,0,0.4,0.1,0.1,0.2,0.3,0.3,0.3,0,0,0,0,0,Matches
363,Ethan Nwaneri,eng ENG,"FW,MF",Arsenal,17-337,2007,4.2,3.1,3.06,1.67,0.48,0.48,0.24,0.24,0,0.48,0.47,0.48,0,0,0,0,0,Matches
364,Christian Norgaard,dk DEN,MF,Brentford,30-348,1994,19.8,1.72,1.71,1.41,0,0,0.15,0.1,0.05,0.35,0.35,0.3,0,0,0,0.05,0,Matches
365,Jake O'Brien,ie IRL,DF,Everton,23-282,2001,5.5,0.91,0.92,0.73,0,0.18,0,0,0,0,0,0,0,0,0,0,0,Matches
366,Matt O'Riley,dk DEN,MF,Brighton,24-092,2000,5.3,4.34,4.37,2.83,0.94,0,0.38,0,0.19,0.38,0.38,0.38,0,0,0,0,0,Matches
367,Dara O'Shea,ie IRL,DF,Ipswich Town,25-354,1999,21.7,0.6,0.6,0.46,0,0,0.05,0.05,0.05,0.05,0.05,0.05,0,0,0,0,0,Matches
368,Chidozie Obi-Martin,dk DEN,MF,Manchester Utd,17-084,2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
369,Wilson Odobert,fr FRA,FW,Tottenham,20-085,2004,1.8,2.22,2.18,1.67,0,0,0.56,0,0,0,0,0,0,0,0,0,0,Matches
370,Chiedozie Ogbene,ie IRL,FW,Ipswich Town,27-296,1997,2.6,1.15,1.13,0.77,0,0,0,0.38,0,0,0,0,0,0,0,0,0,Matches
371,Caleb Okoli,it ITA,DF,Leicester City,23-223,2001,10.2,0.29,0.29,0.29,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
372,Robin Olsen,se SWE,GK,Aston Villa,35-044,1990,0.5,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,Matches
373,Amadou Onana,be BEL,MF,Aston Villa,23-189,2001,12,1.42,1.42,1,0.08,0,0.33,0,0,0.17,0.17,0.08,0,0,0.08,0,0,Matches
374,Andre Onana,cm CMR,GK,Manchester Utd,28-325,1996,25,0.16,0.16,0.12,0.04,0,0,0,0,0,0,0,0,0,0,0,0,Matches
375,Paul Onuachu,ng NGA,FW,Southampton,30-269,1994,7,1,0.99,0.86,0,0,0.14,0,0,0.14,0.14,0.14,0,0,0,0,0,Matches
376,Frank Onyeka,ng NGA,MF,Brentford,27-051,1998,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
377,Lewis Orford,eng ENG,MF,West Ham,19-003,2006,0.5,4,3.67,4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
378,Stefan Ortega,de GER,GK,Manchester City,32-107,1992,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
379,William Osula,dk DEN,"FW,MF",Newcastle Utd,21-201,2003,0.5,2,1.84,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
380,Dango Ouattara,bf BFA,FW,Bournemouth,23-010,2002,14.8,3.04,3.05,2.43,0,0.07,0.47,0,0.07,0.41,0.41,0.27,0,0.07,0.07,0,0,Matches
381,Nico O’Reilly,eng ENG,"MF,DF",Manchester City,19-337,2005,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
382,Alex Palmer,eng ENG,GK,Ipswich Town,28-195,1996,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
383,Cole Palmer,eng ENG,MF,Chelsea,22-291,2002,24.3,5.68,5.68,3.7,0.78,0.37,0.49,0.25,0.08,0.45,0.45,0.29,0,0.08,0.04,0.04,0,Matches
384,Emerson Palmieri,it ITA,DF,West Ham,30-202,1994,18.6,1.72,1.72,1.02,0.54,0,0.11,0.05,0,0.05,0.05,0,0.05,0,0,0,0,Matches
385,Lucas Paqueta,br BRA,"MF,FW",West Ham,27-178,1997,18.9,3.23,3.23,2.59,0.11,0.05,0.21,0.26,0,0.26,0.27,0.11,0,0,0.11,0.05,0,Matches
386,Thomas Partey,gh GHA,"MF,DF",Arsenal,31-253,1993,21.4,1.92,1.91,1.54,0.09,0,0.09,0.05,0.14,0.56,0.56,0.33,0.09,0,0.05,0.05,0.05,Matches
387,Nathan Patterson,sct SCO,"DF,FW",Everton,23-128,2001,1.4,4.29,4.19,2.86,0,1.43,0,0,0,0,0,0,0,0,0,0,0,Matches
388,Andreas Pereira,br BRA,MF,Fulham,29-051,1996,14.3,5.24,5.27,2.87,2.03,0,0.14,0.21,0,0.35,0.35,0.07,0.14,0,0,0.14,0,Matches
389,Ricardo Pereira,pt POR,DF,Leicester City,31-138,1993,1.6,1.25,1.23,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
390,Kalvin Phillips,eng ENG,MF,Ipswich Town,29-081,1995,10.6,1.23,1.23,0.94,0.19,0,0.09,0,0,0.19,0.19,0.19,0,0,0,0,0,Matches
391,Jaden Philogene Bidace,eng ENG,"FW,MF",Aston Villa,23-013,2002,3.7,1.35,1.36,0.81,0,0,0,0.27,0.27,0,0,0,0,0,0,0,0,Matches
392,Jaden Philogene Bidace,eng ENG,"FW,MF",Ipswich Town,23-013,2002,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
393,Jordan Pickford,eng ENG,GK,Everton,30-351,1994,25,0.24,0.24,0.24,0,0,0,0,0,0.04,0.04,0.04,0,0,0,0,0,Matches
394,Ethan Pinnock,jm JAM,DF,Brentford,31-268,1993,16.3,1.17,1.16,0.74,0.25,0,0.12,0.06,0,0,0,0,0,0,0,0,0,Matches
395,Daniel Podence,pt POR,"MF,FW",Wolves,29-123,1995,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
396,Alfie Pond,eng ENG,DF,Wolves,20-357,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
397,Nick Pope,eng ENG,GK,Newcastle Utd,32-308,1992,15,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
398,Pedro Porro,es ESP,DF,Tottenham,25-161,1999,23.1,3.38,3.38,2.34,0.56,0.13,0.22,0.13,0,0.3,0.3,0.13,0.13,0.04,0,0,0,Matches
399,Jarell Quansah,eng ENG,DF,Liverpool,22-023,2003,3.1,0.32,0.33,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
400,Hakon Rafn Valdimarsson,is ISL,GK,Brentford,23-131,2001,1.6,1.25,1.24,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
401,Aaron Ramsdale,eng ENG,GK,Southampton,26-283,1998,17,0.12,0.12,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
402,Jacob Ramsey,eng ENG,"FW,MF",Aston Villa,23-269,2001,11.9,3.28,3.28,2.44,0,0.34,0.08,0.42,0,0.42,0.42,0.42,0,0,0,0,0,Matches
403,Marcus Rashford,eng ENG,"FW,MF",Manchester Utd,27-113,1997,10.9,2.66,2.67,2.2,0.09,0.18,0.18,0,0,0.09,0.09,0.09,0,0,0,0,0,Matches
404,Marcus Rashford,eng ENG,FW,Aston Villa,27-113,1997,1.2,10,9.73,5,0.83,1.67,0.83,1.67,0,0.83,0.81,0,0,0,0.83,0,0,Matches
405,David Raya,es ESP,GK,Arsenal,29-159,1995,25,0.12,0.12,0.08,0.04,0,0,0,0,0,0,0,0,0,0,0,0,Matches
406,Harrison Reed,eng ENG,MF,Fulham,30-025,1995,0.8,1.25,1.3,0,1.25,0,0,0,0,0,0,0,0,0,0,0,0,Matches
407,Remy Rees-Dottin,eng ENG,FW,Bournemouth,18-352,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
408,Sergio Reguilon,es ESP,DF,Tottenham,28-067,1996,1.4,0.71,0.73,0.71,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
409,Bobby Reid,jm JAM,"FW,MF",Leicester City,32-019,1993,5.8,1.9,1.88,1.21,0,0,0.34,0.34,0,0.52,0.51,0.17,0,0,0.17,0.17,0,Matches
