Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,01-Mar,PPA,CrsPA,PrgP,Matches
91,Harry Clarke,eng ENG,DF,Ipswich Town,23-356,2001,4.2,45.2,56.2,80.5,819.5,291.9,20.7,22.6,91.6,18.3,21,87.5,5.48,9.52,57.5,0,0,0.02,0,0.24,5,0.24,0,3.33,Matches
92,Jack Clarke,eng ENG,"FW,MF",Ipswich Town,24-090,2000,7.1,23,30.1,76.2,371.3,91.4,12.1,13.5,89.6,9.15,10.1,90.3,1.27,3.24,39.1,0.28,0.17,0.1,0.11,1.41,1.69,0.42,0,2.54,Matches
93,Nathaniel Clyne,eng ENG,"DF,MF",Crystal Palace,33-322,1991,4.4,26.6,36.1,73.6,496.4,199.5,11.1,14.3,77.8,12.5,14.1,88.7,2.73,5.45,50,0,0.02,0.02,-0.02,0.45,2.27,0.23,0.23,1.36,Matches
94,Conor Coady,eng ENG,DF,Leicester City,31-362,1993,8,48.9,54.6,89.5,845.6,308,21.1,22,96,24.8,25.9,95.7,3,5.88,51.1,0,0.01,0.06,-0.01,0.13,2.5,0.25,0,2.38,Matches
95,Seamus Coleman,ie IRL,DF,Everton,36-133,1988,2.2,25.9,35.9,72.2,475.5,229.1,12.3,13.2,93.1,10.9,14.1,77.4,2.73,7.27,37.5,0,0,0,0,0,2.73,0,0,3.64,Matches
96,Nathan Collins,ie IRL,DF,Brentford,23-297,2001,25,47.5,55.2,86,890.8,307.1,16.5,18.9,87.5,27,29.1,92.9,3.56,6,59.3,0.04,0.06,0.05,-0.02,0.28,3.04,0.28,0.08,3.52,Matches
97,Toby Collyer,eng ENG,MF,Manchester Utd,21-049,2004,1.4,40,45,88.9,612.9,67.9,18.6,20.7,89.7,17.1,17.9,96,2.14,2.86,75,0,0.07,0,-0.07,0.71,1.43,0.71,0,3.57,Matches
98,Levi Colwill,eng ENG,DF,Chelsea,21-361,2003,23,70.3,78.6,89.5,1271.9,458,25,26.9,93,40.9,43.3,94.6,3.87,6.57,58.9,0.04,0.04,0.05,0,0.35,4.57,0.26,0.09,4.35,Matches
99,Lewis Cook,eng ENG,"MF,DF",Bournemouth,28-018,1997,22.6,37.5,48.8,76.7,657.5,228.6,16.5,19.1,86.3,17,20,85,3.41,7.92,43,0.13,0.15,0.13,-0.02,1.73,5.09,0.88,0.22,5.49,Matches
100,Maxwel Cornet,ci CIV,FW,Southampton,28-147,1996,0.8,21.3,27.5,77.3,327.5,46.3,11.3,12.5,90,7.5,10,75,1.25,2.5,50,0,0,0,0,0,0,0,0,0,Matches
101,Vladimir Coufal,cz CZE,DF,West Ham,32-183,1992,8.2,36.2,47.6,76.2,607.8,243,17.9,20.5,87.5,14.5,18.7,77.8,3.05,6.83,44.6,0,0.07,0.11,-0.07,0.73,3.41,1.46,0.85,3.41,Matches
102,Woyo Coulibaly,fr FRA,DF,Leicester City,25-277,1999,0.7,37.1,42.9,86.7,642.9,205.7,18.6,20,92.9,15.7,20,78.6,2.86,2.86,100,0,0,0,0,0,2.86,0,0,0,Matches
103,Aaron Cresswell,eng ENG,DF,West Ham,35-068,1989,3.3,43.9,57,77.1,899.1,366.1,18.2,20.6,88.2,17.9,20.3,88.1,7.88,14.8,53.1,0,0.06,0.15,-0.06,1.52,4.24,0.61,0,3.94,Matches
104,Marc Cucurella,es ESP,DF,Chelsea,26-214,1998,21,52.6,59.2,88.7,813,222.9,26.9,28.6,94.2,22.6,25.1,90.1,1.95,3.24,60.3,0.05,0.08,0.09,-0.03,0.67,3.81,0.29,0.1,3.52,Matches
105,Jorge Cuenca,es ESP,DF,Fulham,25-096,1999,1,30,37,81.1,575,178,7,8,87.5,17,21,81,4,6,66.7,0,0,0,0,0,0,0,0,3,Matches
106,Matheus Cunha,br BRA,"MF,FW",Wolves,25-270,1999,21.8,26.8,37.6,71.3,434.3,146.7,15.3,18.2,84.1,7.48,9.91,75.5,3.03,6.47,46.8,0.18,0.29,0.19,-0.11,1.74,3.3,2.11,0.41,4.82,Matches
107,Patson Daka,zm ZAM,"FW,MF",Leicester City,26-135,1998,3.5,12.6,18.3,68.8,196.9,34.6,5.43,8,67.9,5.71,7.14,80,0.57,0.57,100,0,0,0,0,0,0.57,0.29,0,1.14,Matches
108,Diogo Dalot,pt POR,DF,Manchester Utd,25-340,1999,23.6,44.5,55,80.9,719.4,224.4,23.2,25.5,90.9,17,20.6,82.5,3.22,5.85,55.1,0.04,0.06,0.08,-0.02,0.68,2.12,0.72,0.21,3.39,Matches
109,Mikkel Damsgaard,dk DEN,"MF,FW",Brentford,24-233,2000,20.9,35.1,46.9,74.7,586.7,224.8,18.1,21.1,86.1,12.1,16.1,75.3,3.92,7.22,54.3,0.38,0.3,0.21,0.09,2.06,4.88,1.91,0.48,7.46,Matches
110,Danilo,br BRA,MF,Nott'ham Forest,23-298,2001,1.6,31.3,38.8,80.6,546.3,226.3,11.9,15,79.2,14.4,16.9,85.2,3.13,3.75,83.3,0,0,0,0,0,2.5,0,0,3.75,Matches
111,Jayden Danns,eng ENG,MF,Liverpool,19-036,2006,0.1,10,10,100,60,0,10,10,100,0,0,,0,0,,0,0,0,0,0,0,0,0,0,Matches
112,Kevin Danso,at AUT,DF,Tottenham,26-155,1998,0.9,58.9,66.7,88.3,997.8,388.9,25.6,26.7,95.8,28.9,32.2,89.7,3.33,5.56,60,0,0,0,0,1.11,5.56,1.11,1.11,1.11,Matches
113,Ben Davies,wls WAL,DF,Tottenham,31-303,1993,7,64.9,73,88.8,1206.9,511.1,22.9,24.7,92.5,35.6,37.7,94.3,5.57,8.14,68.4,0,0.01,0.03,-0.01,0.14,3.86,0.14,0,4,Matches
114,Leif Davis,eng ENG,DF,Ipswich Town,25-040,2000,23.5,29.5,41,71.9,501.8,198.1,14,16.3,85.9,12.5,16.3,76.6,2.51,6.3,39.9,0.09,0.15,0.16,-0.06,1.83,1.06,0.85,0.38,1.87,Matches
115,Craig Dawson,eng ENG,DF,Wolves,34-291,1990,10.8,44.8,51.8,86.6,902.3,294.4,13.8,14.9,92.5,24.7,26.6,93,5.28,8.8,60,0,0,0.01,0,0.19,2.04,0.09,0,1.85,Matches
116,Kevin De Bruyne,be BEL,MF,Manchester City,33-238,1991,11.2,52.6,68.2,77.1,892,259.7,26.8,31.3,85.7,20.7,26.1,79.5,4.55,7.5,60.7,0.54,0.54,0.4,0,3.48,4.91,3.75,0.71,9.46,Matches
117,Liam Delap,eng ENG,FW,Ipswich Town,22-013,2003,20.5,6.78,10.9,62.1,96.8,24,3.76,5.41,69.4,2.2,3.41,64.3,0.34,0.88,38.9,0.1,0.09,0.06,0.01,0.93,0.59,0.24,0,0.98,Matches
118,Sepp van den Berg,nl NED,DF,Brentford,23-063,2001,19.5,37.2,44,84.6,630.7,204.9,16.9,19.2,88,17.7,20,88.5,2.26,3.49,64.7,0,0.01,0.02,-0.01,0.21,2.21,0.15,0.05,2.72,Matches
119,Justin Devenny,nir NIR,MF,Crystal Palace,21-133,2003,3.5,27.1,38.6,70.4,430.3,110.3,14.6,18,81,9.43,13.1,71.7,2,5.43,36.8,0,0.09,0.09,-0.09,1.43,3.43,0.57,0.29,2.57,Matches
120,Kiernan Dewsbury-Hall,eng ENG,MF,Chelsea,26-168,1998,1.8,43.9,51.1,85.9,660.6,109.4,25.6,27.8,92,17.2,19.4,88.6,1.11,2.78,40,0.56,0.56,0.11,0,1.11,3.89,0.56,0,5.56,Matches
121,Amad Diallo,ci CIV,"FW,MF",Manchester Utd,22-225,2002,17.7,37.2,44.9,82.9,511.4,106.2,23,25.4,90.4,10.5,12.3,85.3,1.86,3.56,52.4,0.34,0.22,0.2,0.12,2.2,1.41,1.64,0.28,2.99,Matches
122,Ruben Dias,pt POR,DF,Manchester City,27-283,1997,13.1,87.1,92.7,93.9,1481.4,481.6,37.3,38.5,96.8,44.2,46.3,95.5,4.27,5.73,74.7,0,0.02,0.05,-0.02,0.38,8.09,0.38,0,5.95,Matches
123,Luis Diaz,co COL,FW,Liverpool,28-039,1997,17.7,26.6,31.6,84.1,415.7,89.1,15,16.6,90.1,8.59,10.2,84,2.09,2.54,82.2,0.11,0.12,0.13,-0.01,1.58,1.81,1.47,0.17,4.18,Matches
124,Tyler Dibling,eng ENG,"FW,MF",Southampton,18-346,2006,14.1,22.8,29.2,78.2,353.3,74.8,12.1,13.8,87.2,8.94,10.7,83.4,1.21,2.62,45.9,0,0.09,0.09,-0.09,0.99,1.42,1.21,0.07,3.05,Matches
125,Lucas Digne,fr FRA,DF,Aston Villa,31-216,1993,21,38.5,51.6,74.6,619.5,196.5,19.4,22,88.3,15.8,20.2,78.3,2.33,6.19,37.7,0.19,0.18,0.15,0.01,1.48,1.86,1.19,0.76,2.24,Matches
126,Issa Diop,fr FRA,DF,Fulham,28-043,1997,11.9,45.7,52.4,87.2,852.1,295.7,16.1,17.5,91.8,26.2,28.2,93.1,3.19,6.13,52.1,0,0.01,0.01,-0.01,0.17,2.77,0.08,0,1.93,Matches
127,Axel Disasi,fr FRA,DF,Aston Villa,26-347,1998,2,68,73.5,92.5,1162.5,427.5,28,28.5,98.2,38,39.5,96.2,1.5,2.5,60,0,0.15,0.15,-0.15,0.5,4.5,0.5,0,3.5,Matches
128,Axel Disasi,fr FRA,DF,Chelsea,26-347,1998,4,66.5,73.3,90.8,1054.5,342,34,36,94.4,29.3,31.5,92.9,2.25,3.25,69.2,0,0.03,0.03,-0.03,0.5,5,0.5,0,4,Matches
129,Roman Dixon,eng ENG,DF,Everton,20-057,2004,1,11,19,57.9,205,111,6,8,75,4,8,50,1,3,33.3,0,0,0,0,0,3,0,0,0,Matches
130,Matt Doherty,ie IRL,DF,Wolves,33-036,1992,13.9,43.9,54,81.3,812.4,256.3,17.9,20.1,88.9,20.4,24.2,84.5,4.82,7.48,64.4,0.07,0.1,0.06,-0.03,0.72,4.53,0.72,0.07,3.67,Matches
131,Jeremy Doku,be BEL,"FW,MF",Manchester City,22-270,2002,8.9,36,45.1,79.8,505.8,87,23.8,27.8,85.8,11.1,13.5,82.5,0.79,1.24,63.6,0.45,0.26,0.2,0.19,1.91,0.45,3.15,0.34,4.16,Matches
132,Nicolas Dominguez,ar ARG,"MF,FW",Nott'ham Forest,26-238,1998,12.5,40,46.2,86.7,573.4,164.7,23.4,25.5,91.5,12.2,13.8,88.4,2,3.04,65.8,0,0.06,0.07,-0.06,0.48,3.76,0.48,0,3.68,Matches
133,Patrick Dorgu,dk DEN,DF,Manchester Utd,20-118,2004,1,32,43,74.4,510,155,18,22,81.8,13,17,76.5,1,3,33.3,0,0,0.1,0,2,2,2,1,4,Matches
134,Alfie Dorrington,eng ENG,DF,Tottenham,19-307,2005,0.2,75,80,93.8,1520,195,30,35,85.7,35,35,100,10,10,100,0,0,0,0,0,0,0,0,0,Matches
135,Abdoulaye Doucoure,ml MLI,MF,Everton,32-051,1993,19.7,26.7,33.2,80.4,413.7,81.9,13.8,16,86,10.4,12.5,83,1.68,2.23,75,0,0.06,0.04,-0.06,1.07,1.73,0.51,0,2.99,Matches
136,Cheick Doucoure,ml MLI,MF,Crystal Palace,25-044,2000,5,34.8,40.8,85.3,581.8,164.6,16.8,18.8,89.4,14,15.6,89.7,3.2,4,80,0,0,0.02,0,0.2,3.4,0.6,0,3.8,Matches
137,Flynn Downes,eng ENG,MF,Southampton,26-032,1999,15.9,44.9,49.6,90.6,663.8,132.8,25.8,27.7,93.4,15.7,16.9,92.6,1.82,2.7,67.4,0,0.06,0.07,-0.06,0.75,2.64,0.57,0,3.14,Matches
138,Tommy Doyle,eng ENG,MF,Wolves,23-127,2001,5.2,57.3,70.4,81.4,1194.4,366.9,19.6,20.8,94.4,24.6,27.5,89.5,11.5,17.7,65.2,0.19,0.1,0.06,0.1,1.35,7.69,0.58,0,7.5,Matches
139,Radu Dragusin,ro ROU,DF,Tottenham,23-018,2002,13.9,51.5,60.4,85.2,981.2,377.7,16,17.6,91,31.4,33.8,93,3.38,7.7,43.9,0,0.03,0.01,-0.03,0.29,3.74,0.14,0.07,2.66,Matches
140,Martin Dúbravka,sk SVK,GK,Newcastle Utd,36-037,1989,10,26.5,33.3,79.6,593.2,308.2,5.8,5.8,100,16.1,16.1,100,4.5,11.2,40.2,0,0,0,0,0,0,0,0,0,Matches
141,Lewis Dunk,eng ENG,DF,Brighton,33-092,1991,17.4,77.2,84.6,91.2,1435.9,474.7,29.2,30.1,96.9,40.8,42.8,95.4,6.49,10.3,63.1,0,0.03,0.04,-0.03,0.34,7.07,0.23,0,6.38,Matches
142,Jader Duran,co COL,FW,Aston Villa,21-070,2003,7.1,16.2,23,70.6,219.4,43.2,9.58,11.8,81,4.79,7.04,68,0.7,1.55,45.5,0,0.03,0.04,-0.03,0.56,1.41,0.14,0,1.83,Matches
143,Ederson,br BRA,GK,Manchester City,31-188,1993,16,32.6,37.8,86.1,814.6,541.3,5.94,5.94,100,18.6,19,98,7.88,12.7,62.1,0.19,0.05,0,0.14,0.19,1.19,0.06,0,0.06,Matches
144,George Edmundson,eng ENG,DF,Ipswich Town,27-174,1997,0,1,2,50,9,0,1,1,100,0,0,,0,0,,0,0,0,0,0,0,0,0,0,Matches
145,Odsonne Edouard,fr FRA,"MF,FW",Crystal Palace,27-036,1998,1.3,13.1,21.5,60.7,176.9,35.4,8.46,12.3,68.8,3.08,5.38,57.1,0.77,0.77,100,0,0,0,0,0.77,1.54,0,0,3.08,Matches
146,Odsonne Edouard,fr FRA,FW,Leicester City,27-036,1998,0.3,20,26.7,75,196.7,16.7,10,13.3,75,3.33,3.33,100,0,0,,0,0,0,0,3.33,0,0,0,3.33,Matches
147,Samuel Edozie,eng ENG,"DF,FW",Southampton,22-024,2003,0.7,35.7,47.1,75.8,451.4,95.7,27.1,30,90.5,8.57,10,85.7,0,4.29,0,0,0.14,0.29,-0.14,1.43,0,4.29,0,5.71,Matches
148,Ronnie Edwards,eng ENG,DF,Southampton,21-330,2003,0.1,50,50,100,1090,0,0,0,,50,50,100,0,0,,0,0,0,0,0,0,0,0,0,Matches
149,Anthony Elanga,se SWE,"FW,MF",Nott'ham Forest,22-300,2002,17.2,18.8,29.5,63.6,269.7,97.6,11.4,13.7,83.4,4.88,7.97,61.3,1.57,4.88,32.1,0.47,0.23,0.2,0.23,1.98,1.05,0.99,0.23,1.98,Matches
150,Harvey Elliott,eng ENG,"MF,FW",Liverpool,21-323,2003,0.9,86.7,110,78.8,1637.8,400,46.7,51.1,91.3,23.3,33.3,70,14.4,20,72.2,1.11,0.89,0.44,0.22,4.44,6.67,3.33,0,12.2,Matches
151,Yunus Emre Konak,tr TUR,"MF,FW",Brentford,19-042,2006,0.2,60,85,70.6,1005,310,35,45,77.8,15,20,75,10,15,66.7,0,0,0,0,0,5,0,0,10,Matches
152,Julio Enciso,py PAR,"MF,FW",Ipswich Town,21-029,2004,1.3,36.9,50,73.8,613.1,192.3,18.5,21.5,85.7,14.6,20,73.1,2.31,3.08,75,0.77,0.23,0.23,0.54,0.77,4.62,0.77,0,6.92,Matches
153,Julio Enciso,py PAR,"MF,FW",Brighton,21-029,2004,3.3,30,45.5,66,443.6,118.8,18.5,22.7,81.3,8.79,12.1,72.5,1.52,6.67,22.7,0,0.06,0.09,-0.06,1.52,3.94,1.21,0.3,4.24,Matches
154,Wataru Endo,jp JPN,MF,Liverpool,32-012,1993,1.2,49.2,53.3,92.2,736.7,196.7,27.5,29.2,94.3,16.7,17.5,95.2,2.5,2.5,100,0,0,0,0,0.83,5.83,0.83,0,5.83,Matches
155,Christian Eriksen,dk DEN,MF,Manchester Utd,33-007,1992,7.1,51.3,63.2,81.1,888,274.1,27,29,93.2,17.6,21.4,82.2,5.35,10.7,50,0.14,0.3,0.23,-0.15,2.25,5.35,0.56,0,4.79,Matches
156,Romain Esse,eng ENG,MF,Crystal Palace,19-284,2005,0.1,30,40,75,630,290,10,20,50,10,10,100,10,10,100,0,0,0,0,0,10,0,0,10,Matches
157,Pervis Estupinan,ec ECU,DF,Brighton,27-031,1998,15.7,51.7,61.7,83.9,779.7,237.5,30.9,33.2,93.1,16.7,20,83.4,2.99,5.67,52.8,0.06,0.11,0.11,-0.05,1.21,3.31,1.46,1.08,4.52,Matches
158,Evanilson,br BRA,FW,Bournemouth,25-138,1999,15.2,8.75,12.9,67.9,107.2,21.8,5.86,7.96,73.6,1.78,2.63,67.5,0.46,0.53,87.5,0,0.07,0.09,-0.07,1.05,0.59,0.13,0,0.86,Matches
159,Jonny Evans,nir NIR,DF,Manchester Utd,37-049,1988,3.2,54.4,61.3,88.8,877.8,245,25.6,27.2,94.3,25.3,28.1,90,1.88,3.75,50,0,0,0,0,0,2.81,0.31,0,2.5,Matches
160,Eberechi Eze,eng ENG,"MF,FW",Crystal Palace,26-237,1998,18.4,29.7,39.7,74.7,507.3,133.9,14.2,16.7,85.1,12.1,14.3,84.1,2.83,6.36,44.4,0.27,0.2,0.16,0.08,2.45,1.96,1.47,0.16,3.91,Matches
161,Lukasz Fabianski,pl POL,GK,West Ham,39-309,1985,11.9,25.5,38.2,67,735.8,515,4.45,4.45,100,12.4,12.4,99.3,8.74,21.2,41.3,0,0,0,0,0,0.34,0,0,0,Matches
162,Wout Faes,be BEL,DF,Leicester City,26-324,1998,19.3,42.5,49.1,86.6,791.4,273.4,16.4,17.6,93.5,22.4,23.6,94.7,3.63,6.99,51.9,0,0.01,0.02,-0.01,0.16,3.06,0.26,0,3.01,Matches
163,Abdul Fatawu Issahaku,gh GHA,FW,Leicester City,20-350,2004,6.4,19.2,30.8,62.4,335.9,93.9,9.22,12.7,72.8,7.03,9.22,76.3,2.5,5.16,48.5,0.31,0.25,0.22,0.06,0.94,1.09,1.09,0.31,2.66,Matches
164,Joao Felix,pt POR,"FW,MF",Chelsea,25-103,1999,4.1,41.7,48.5,85.9,631.2,161.7,23.2,25.6,90.5,15.1,16.6,91.2,2.44,3.66,66.7,0.24,0.24,0.12,0,1.46,5.37,1.95,0,6.34,Matches
165,Evan Ferguson,ie IRL,FW,West Ham,20-125,2004,0.5,14,18,77.8,192,8,10,14,71.4,4,4,100,0,0,,0,0.4,0.4,-0.4,2,0,0,0,0,Matches
166,Evan Ferguson,ie IRL,FW,Brighton,20-125,2004,2.7,15.9,21.5,74.1,179.3,16.3,11.5,13.3,86.1,2.96,4.07,72.7,0.37,1.48,25,0,0.15,0.15,-0.15,1.11,0.37,0,0,0.37,Matches
167,Bruno Fernandes,pt POR,MF,Manchester Utd,30-166,1994,22.4,48.3,64.7,74.7,836.1,291.2,24,27.9,86.1,17.2,21.6,79.9,5.54,10.8,51.2,0.27,0.24,0.21,0.03,2.37,5.8,2.05,0.31,8.79,Matches
168,Mateus Fernandes,pt POR,MF,Southampton,20-226,2004,20.3,34.5,43.6,79.1,585,142.7,16.5,18.9,87,13.2,15.4,85.6,3.4,6.35,53.5,0.1,0.1,0.13,0,1.13,2.76,0.69,0.15,4.63,Matches
169,Enzo Fernandez,ar ARG,MF,Chelsea,24-035,2001,19.8,51.1,63,81.2,897.2,240.7,24.1,26.8,90,20.6,24.2,84.8,5.25,8.59,61.2,0.2,0.19,0.2,0.01,2.12,5.2,1.06,0.05,6.77,Matches
170,Mark Flekken,nl NED,GK,Brentford,31-253,1993,23.4,35.9,49,73.2,1026.9,685,4.66,4.74,98.2,19.6,20.3,96.8,11.6,23.7,48.8,0.04,0.01,0,0.03,0.04,1.32,0.04,0,0,Matches
171,Phil Foden,eng ENG,"MF,FW",Manchester City,24-269,2000,16,41.4,48.7,85.1,651.2,143.2,24.5,26.8,91.4,12.7,14.2,89.4,3.56,5.69,62.6,0.13,0.28,0.31,-0.15,2.38,2.38,2.13,0.31,5.31,Matches
172,Wesley Fofana,fr FRA,DF,Chelsea,24-066,2000,11.3,55.8,62.2,89.6,945.3,261,23.4,25,93.3,29.9,32.5,92.1,1.95,3.1,62.9,0,0.04,0.02,-0.04,0.44,3.89,0.09,0,2.21,Matches
173,Carlos Forbs,pt POR,"MF,FW",Wolves,20-339,2004,2.6,21.5,33.5,64.4,284.2,87.7,13.8,18.5,75,6.92,9.62,72,0.38,1.92,20,0,0,0.04,0,0.38,0.77,1.15,0.38,3.08,Matches
174,Fraser Forster,eng ENG,GK,Tottenham,36-341,1988,7,24,28.3,84.8,478.4,300.7,7.71,7.86,98.2,12.3,12.9,95.6,3.29,6.71,48.9,0,0,0,0,0,0.14,0,0,0,Matches
175,Ryan Fraser,sct SCO,"FW,DF",Southampton,30-363,1994,3.4,22.6,30.3,74.8,329.7,61.2,12.6,13.5,93.5,8.24,11.8,70,0.88,2.94,30,0,0.03,0.03,-0.03,0.59,0.88,0.29,0,2.35,Matches
176,Niclas Fullkrug,de GER,FW,West Ham,32-012,1993,4.1,12.9,18.8,68.8,176.3,22.7,7.07,9.51,74.4,4.15,6.59,63,0.49,0.98,50,0.24,0.24,0.05,0,1.71,0.73,0.24,0,0.98,Matches
177,Cody Gakpo,nl NED,FW,Liverpool,25-290,1999,15.2,23.3,30.7,76,332.1,83.5,14.4,16.6,86.6,7.04,10.4,67.7,1.05,1.84,57.1,0.2,0.23,0.18,-0.03,1.97,1.25,1.45,0.39,2.83,Matches
178,Idrissa Gana Gueye,sn SEN,MF,Everton,35-148,1989,21.4,35.7,41.7,85.7,602,156.8,17.8,19.5,90.9,14.8,16.4,90,2.71,3.93,69,0.09,0.06,0.05,0.04,0.65,4.35,0.33,0.14,4.35,Matches
179,Andres Garcia,es ESP,DF,Aston Villa,22-014,2003,2.2,50.5,59.5,84.7,746.8,118.6,27.7,29.5,93.8,19.1,21.8,87.5,1.82,4.09,44.4,0,0,0.09,0,0,2.27,2.27,1.36,3.64,Matches
180,Alejandro Garnacho,ar ARG,"FW,MF",Manchester Utd,20-235,2004,15.7,25.2,32.2,78.3,357.1,43.4,16.4,18.3,89.5,6.24,7.77,80.3,1.4,2.48,56.4,0.06,0.16,0.09,-0.1,1.27,0.96,0.7,0.06,1.91,Matches
