Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
1,Max Aarons,eng ENG,DF,Bournemouth,25-048,2000,1,63,51,12,2,0,0,2,10,0,0,0,0,50,0,1,Matches
2,Joshua Acheampong,eng ENG,DF,Chelsea,18-292,2006,1.8,61.7,60.6,1.11,1.11,0,0,0,0,0,0,0,0,51.1,0,1.11,Matches
3,Tyler Adams,us USA,MF,Bournemouth,26-007,1999,10.6,43.1,40.8,2.17,1.98,0.09,0,0,0.19,0,0,0,0,36.6,0.09,0.57,Matches
4,Tosin Adarabioyo,eng ENG,DF,Chelsea,27-150,1997,9.1,82.6,80,2.42,1.43,0,0.11,0,0.44,0,0,0,0,76.5,0.22,0.33,Matches
5,Simon Adingra,ci CIV,"FW,MF",Brighton,23-051,2002,6.7,30.7,30,0.6,0,0.15,0,2.99,0.6,0,0,0,0,22.7,0.15,1.04,Matches
6,Emmanuel Agbadou,ci CIV,DF,Wolves,27-249,1997,4.7,53.6,50,3.19,2.13,0,1.7,0,0,0,0,0,0,42.6,0.43,0.64,Matches
7,Asher Agbinone,eng ENG,MF,Crystal Palace,19-146,2005,0.1,30,30,0,0,0,0,10,0,0,0,0,0,20,0,0,Matches
8,Ola Aina,ng NGA,DF,Nott'ham Forest,28-136,1996,24.1,41.7,33.1,8.51,0.54,0,0.12,1.41,7.97,0,0,0,0,30.7,0.08,1.24,Matches
9,Rayan Ait-Nouri,dz ALG,DF,Wolves,23-260,2001,22.7,48.5,40,8.28,1.19,0.13,0.18,2.16,6.56,0.53,0.4,0.04,0,40.8,0.18,1.28,Matches
10,Kristoffer Ajer,no NOR,DF,Brentford,26-310,1998,9.8,43.2,38.8,4.29,0.2,0,0.31,0.82,4.08,0,0,0,0,33.6,0.1,1.22,Matches
11,Manuel Akanji,ch SUI,DF,Manchester City,29-217,1995,19,77.8,76,1.79,0.89,0.21,0.47,0.58,0.53,0,0,0,0,73.1,0.05,0.26,Matches
12,Nathan Ake,nl NED,DF,Manchester City,30-003,1995,6.7,70,66,3.73,1.79,0,0,0.15,1.04,0,0,0,0,65.5,0.3,0.45,Matches
13,Carlos Alcaraz,ar ARG,MF,Southampton,22-083,2002,0.1,130,110,20,0,0,0,10,10,10,0,0,0,130,0,0,Matches
14,Carlos Alcaraz,ar ARG,MF,Everton,22-083,2002,1.1,29.1,28.2,0.91,0,0.91,0.91,0,0.91,0,0,0,0,22.7,0,0.91,Matches
15,Trent Alexander-Arnold,eng ENG,DF,Liverpool,26-137,1998,21,73.6,61.2,12,2.38,0.43,1.14,6.43,7.33,2.24,1.43,0.48,0.05,53.7,0.43,1.38,Matches
16,Alisson,br BRA,GK,Liverpool,32-142,1992,17.9,30.3,26.1,4.02,1.28,0.06,0,0,0,0,0,0,0,25,0.11,0,Matches
17,Miguel Almiron,py PAR,FW,Newcastle Utd,31-011,1994,1.7,38.8,37.6,0.59,0,0.59,0,0,0.59,0,0,0,0,31.8,0.59,1.18,Matches
18,Edson Alvarez,mx MEX,MF,West Ham,27-120,1997,14.7,49.5,48.2,0.88,0.68,0.2,0.68,0.34,0.2,0,0,0,0,42.7,0.41,0.48,Matches
19,Will Alves,eng ENG,FW,Leicester City,20-018,2005,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Matches
20,Samuel Amo-Ameyaw,eng ENG,"FW,DF",Southampton,18-218,2006,0.3,30,26.7,3.33,0,0,0,6.67,0,3.33,0,0,0,26.7,0,0,Matches
21,Joachim Andersen,dk DEN,DF,Crystal Palace,28-266,1996,1,83,81,2,1,0,0,1,0,1,0,0,0,61,0,0,Matches
22,Joachim Andersen,dk DEN,DF,Fulham,28-266,1996,15.7,71.1,67.2,3.57,3.12,0,1.34,0.25,0.32,0,0,0,0,59.2,0.32,0.19,Matches
23,Elliot Anderson,eng ENG,MF,Nott'ham Forest,22-107,2002,18.2,44.3,40.8,3.41,1.04,0.27,0.11,3.08,0.05,1.98,0.71,1.15,0,34.7,0.16,1.15,Matches
24,Andre,br BRA,MF,Wolves,23-220,2001,15.6,41.9,40.6,1.15,0.96,0.19,0.58,0,0.06,0,0,0,0,38.6,0.13,0.45,Matches
25,Michail Antonio,jm JAM,FW,West Ham,34-330,1990,9.3,20.2,18.8,1.18,0,0.32,0.65,2.69,0.75,0,0,0,0,12.3,0.22,1.51,Matches
26,Antony,br BRA,"DF,MF",Manchester Utd,24-363,2000,1.6,43.1,38.8,4.38,1.25,0,0,3.13,3.13,0,0,0,0,35,0,0.63,Matches
27,Julian Araujo,mx MEX,DF,Bournemouth,23-192,2001,3.9,42.6,36.2,6.41,0.26,0,0,1.03,6.15,0,0,0,0,33.6,0,0.51,Matches
28,Cameron Archer,eng ENG,FW,Southampton,23-215,2001,11.7,15,13.9,1.03,0,0.17,0,0.26,0,0,0,0,0,12.1,0,0.43,Matches
29,Alphonse Areola,fr FRA,GK,West Ham,31-360,1993,13.1,40.6,28.9,11.5,2.6,0,0.15,0,0,0,0,0,0,29.5,0.31,0.08,Matches
30,Joe Aribo,ng NGA,MF,Southampton,28-215,1996,17.2,44.8,44.1,0.64,0.12,0.12,0,0.47,0.23,0,0,0,0,39.5,0.06,0.81,Matches
31,Adam Armstrong,eng ENG,"FW,MF",Southampton,28-011,1997,13.9,20.7,19.3,1.29,0,0,0.07,1.01,0.22,0,0,0,0,16.6,0.14,0.86,Matches
32,Harrison Armstrong,eng ENG,MF,Everton,18-033,2007,0.5,30,26,2,0,0,0,2,0,0,0,0,0,14,2,0,Matches
33,Kepa Arrizabalaga,es ESP,GK,Bournemouth,30-141,1994,18,31.9,22.2,9.61,2.61,0,0,0,0,0,0,0,0,23,0.11,0.06,Matches
34,Marco Asensio,es ESP,"MF,FW",Aston Villa,29-031,1996,1,50,42,7,1,0,0,3,0,6,1,0,0,41,1,0,Matches
35,Brandon Austin,eng ENG,GK,Tottenham,26-044,1999,1,32,24,8,2,0,0,0,0,0,0,0,0,22,0,0,Matches
36,Taiwo Awoniyi,ng NGA,FW,Nott'ham Forest,27-193,1997,2.9,22.1,22.1,0,0,0.34,0,0.34,0,0,0,0,0,14.1,0,1.03,Matches
37,Yasin Ayari,se SWE,MF,Brighton,21-138,2003,14.2,44.3,39.7,4.58,1.55,0.56,0.07,3.52,0.07,1.9,1.48,0.28,0,35.5,0,0.63,Matches
38,Jordan Ayew,gh GHA,"FW,MF",Crystal Palace,33-163,1991,0.2,50,40,10,0,0,5,5,0,5,5,0,0,40,0,0,Matches
39,Jordan Ayew,gh GHA,"FW,MF",Leicester City,33-163,1991,13.8,29.1,26.8,2.25,0.65,0.22,0.14,2.83,0.36,1.09,0.65,0.29,0.07,20.9,0,0.65,Matches
40,Benoit Badiashile,fr FRA,DF,Chelsea,23-332,2001,2.8,79.6,76.4,2.86,1.79,0,0.36,0,0,0,0,0,0,71.4,0.36,0,Matches
41,Leon Bailey,jm JAM,"FW,MF",Aston Villa,27-196,1997,11.5,30.6,28.9,1.48,0,0.43,0.09,2.87,0.09,1.39,0.78,0,0,21.7,0.26,2,Matches
42,Carlos Baleba,cm CMR,MF,Brighton,21-049,2004,17.8,40.2,39.9,0.22,0.17,0.22,0.11,0.22,0.06,0,0,0,0,35.1,0.11,0.28,Matches
43,Ross Barkley,eng ENG,MF,Aston Villa,31-078,1993,6.2,59.2,56.9,2.1,1.77,0,0.32,0.16,0.16,0,0,0,0,51.1,0.16,1.13,Matches
44,Harvey Barnes,eng ENG,FW,Newcastle Utd,27-074,1997,8.7,32.5,32.2,0.23,0,0.11,0.11,2.64,0.23,0,0,0,0,25.4,0.11,0.92,Matches
45,Calvin Bassey,ng NGA,DF,Fulham,25-052,1999,24,63.9,59.7,4.13,1.63,0,0.29,0.17,0.13,0,0,0,0,57.2,0.04,0.42,Matches
46,Jan Bednarek,pl POL,DF,Southampton,28-315,1996,20.8,67.3,63.6,3.56,1.39,0,0.34,0,0.05,0,0,0,0,62.1,0.1,0.19,Matches
47,Jean-Ricner Bellegarde,fr FRA,"MF,FW",Wolves,26-239,1998,11,28.5,27.7,0.82,0.27,0.27,0.27,1.73,0.18,0,0,0,0,23.1,0,1.09,Matches
48,Rodrigo Bentancur,uy URU,MF,Tottenham,27-241,1997,10.5,62.8,60.5,2.29,2.1,0.29,0.1,0.19,0.1,0,0,0,0,56.1,0,1.14,Matches
49,Sander Berge,no NOR,MF,Fulham,27-007,1998,14.6,49,47.1,1.92,1.85,0.14,0.27,0.07,0.07,0,0,0,0,44.3,0,0.48,Matches
50,Lucas Bergvall,se SWE,MF,Tottenham,19-019,2006,7.4,62.4,58.5,3.78,1.62,0,0.68,1.62,0.68,0.81,0.41,0.27,0,56.1,0.14,0.68,Matches
51,Victor Bernth Kristiansen,dk DEN,DF,Leicester City,22-067,2002,21.5,51.6,41,10.2,1.77,0.05,0.05,3.44,7.67,0.79,0.65,0.09,0,40.2,0.37,0.79,Matches
52,Beto,gw GNB,FW,Everton,27-021,1998,6.5,16.8,16.3,0.46,0,0.15,0.15,0.31,0,0.15,0,0,0,9.69,0,0.62,Matches
53,Philip Billing,dk DEN,MF,Bournemouth,28-255,1996,2,51,45.5,5,0.5,0.5,0.5,5,0.5,3,1,1,0.5,35,0.5,1,Matches
54,Yves Bissouma,ml MLI,MF,Tottenham,28-175,1996,11.7,55.8,52.9,2.74,2.65,0.17,0.17,0.17,0.09,0,0,0,0,49.8,0.17,0.6,Matches
55,Lamare Bogarde,nl NED,"DF,MF",Aston Villa,21-047,2004,3.9,50.8,43.8,6.67,2.31,0,0,0,4.36,0,0,0,0,44.1,0.26,0.26,Matches
56,Willy Boly,ci CIV,DF,Nott'ham Forest,34-018,1991,1.5,40.7,40,0.67,0.67,0,0,0,0,0,0,0,0,32,0,0,Matches
57,Sven Botman,nl NED,DF,Newcastle Utd,25-040,2000,2.5,51.2,49.6,1.6,1.6,0,0,0,0,0,0,0,0,45.2,0,0,Matches
58,Jarrod Bowen,eng ENG,"FW,MF",West Ham,28-063,1996,20.4,25.9,22.6,3.14,0.1,0.34,0.15,4.12,0.05,2.16,1.37,0.74,0,18.1,0.15,1.23,Matches
59,Conor Bradley,nir NIR,DF,Liverpool,21-227,2003,4.1,69.3,58,11,2.2,0,0.24,0.98,8.78,0,0,0,0,58.3,0.24,1.46,Matches
60,Jarrad Branthwaite,eng ENG,DF,Everton,22-239,2002,16.1,41.7,40.3,1.18,1.18,0.06,0.5,0.06,0,0,0,0,0,33.9,0.19,0.31,Matches
61,James Bree,eng ENG,DF,Southampton,27-133,1997,8.4,53.2,49.3,3.81,0.95,0,0,2.38,2.38,0.36,0.24,0,0,44,0.12,0.83,Matches
62,Ben Brereton,cl CHI,FW,Southampton,25-309,1999,5,33.2,32.6,0.4,0.2,0.2,0,1,0.2,0,0,0,0,25.6,0.2,0.6,Matches
63,Nathan Broadhead,wls WAL,"FW,MF",Ipswich Town,26-322,1998,4.2,29.3,27.9,1.43,0,0.24,0.24,1.43,0.48,0.71,0.71,0,0,22.9,0,1.43,Matches
64,Armando Broja,al ALB,FW,Everton,23-164,2001,1.8,18.9,18.9,0,0,0,0,0.56,0,0,0,0,0,15,0,0.56,Matches
65,David Brooks,wls WAL,FW,Bournemouth,27-228,1997,7.1,33.9,30.7,3.24,0.85,0.28,0,4.79,1.13,1.27,0.7,0.14,0,24.2,0,1.83,Matches
66,Emi Buendia,ar ARG,"MF,FW",Aston Villa,28-058,1996,1.1,54.5,53.6,0.91,0.91,0.91,0,0,0,0,0,0,0,44.5,0,0,Matches
67,Santiago Bueno,uy URU,DF,Wolves,26-104,1998,15.2,45.7,43.8,1.84,1.18,0.07,0.2,0,0.13,0,0,0,0,39.8,0.07,0.53,Matches
68,Facundo Buonanotte,ar ARG,"FW,MF",Leicester City,20-060,2004,12.8,34.3,30.2,3.91,1.41,0.47,0.23,2.5,0.63,1.48,1.02,0.08,0,26.1,0.23,0.55,Matches
69,Cameron Burgess,au AUS,DF,Ipswich Town,29-123,1995,10,49.6,45.9,3.3,1.7,0.1,0,0,0,0,0,0,0,39.7,0.4,0.3,Matches
70,Dan Burn,eng ENG,DF,Newcastle Utd,32-288,1992,24,53,52,0.96,0.79,0,0.29,0.08,0.08,0,0,0,0,47.8,0.04,0.38,Matches
71,Wes Burns,wls WAL,"FW,DF",Ipswich Town,30-090,1994,10.3,24.6,23.7,0.87,0.1,0,0.1,4.47,0.78,0,0,0,0,14.9,0,2.33,Matches
72,Moises Caicedo,ec ECU,MF,Chelsea,23-111,2001,24.3,62.2,60.4,1.69,1.07,0.29,0.37,0.33,0.62,0,0,0,0,55.6,0.08,0.62,Matches
73,Tom Cairney,sct SCO,MF,Fulham,34-032,1991,4.4,101.4,97.5,3.86,2.05,0,0,2.73,0.23,0.68,0,0.68,0,93.2,0,1.59,Matches
74,Jens Cajuste,se SWE,MF,Ipswich Town,25-195,1999,12.5,35.9,32.8,3.12,1.36,0.08,0.24,0.48,1.76,0,0,0,0,29.9,0,0.64,Matches
75,Riccardo Calafiori,it ITA,DF,Arsenal,22-278,2002,8.5,50.9,44.6,6.35,0.59,0,0.12,1.06,5.76,0,0,0,0,43.2,0,1.18,Matches
76,Dominic Calvert-Lewin,eng ENG,FW,Everton,27-342,1997,17.5,15.9,15.8,0.11,0,0,0.06,0.34,0.06,0,0,0,0,9.94,0,0.69,Matches
77,Diego Carlos,br BRA,DF,Aston Villa,31-343,1993,9.2,65.5,62.5,2.72,1.85,0,0.65,0,0,0,0,0,0,58,0.33,0,Matches
78,Fabio Carvalho,pt POR,"FW,MF",Brentford,22-175,2002,4.8,35.2,32.1,2.92,0.83,0.42,0,2.08,0.21,1.46,0.63,0,0,24.8,0.21,1.46,Matches
79,Casemiro,br BRA,MF,Manchester Utd,32-364,1992,10.3,61.4,59.2,1.46,1.26,0.49,0.49,1.65,0.19,0,0,0,0,48.8,0.68,1.55,Matches
80,Kaelan Casey,eng ENG,DF,West Ham,20-116,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
81,Matty Cash,pl POL,DF,Aston Villa,27-198,1997,14.2,42.3,35,7.32,0.99,0,0,1.41,6.34,0,0,0,0,33.5,0,0.85,Matches
82,Timothy Castagne,be BEL,DF,Fulham,29-078,1995,11,56.7,48.9,7.82,0.82,0,0.09,2.36,7,0,0,0,0,47,0,1.45,Matches
83,Trevoh Chalobah,eng ENG,DF,Crystal Palace,25-231,1999,11.8,37.5,36.1,1.36,0.93,0.08,0.17,0.59,0.42,0,0,0,0,29.6,0,0.59,Matches
84,Trevoh Chalobah,eng ENG,DF,Chelsea,25-231,1999,3,81.7,80,1.67,1.33,0.33,0,0.33,0,0,0,0,0,75.3,0,0.33,Matches
85,Conor Chaplin,eng ENG,"MF,FW",Ipswich Town,28-005,1997,6.8,33.7,30.4,3.24,0.29,1.32,0,1.32,0.15,0,0,0,0,25,0,0.44,Matches
86,Federico Chiesa,it ITA,FW,Liverpool,27-119,1997,0.3,60,60,0,0,0,0,3.33,0,0,0,0,0,50,0,3.33,Matches
87,Ben Chilwell,eng ENG,DF,Crystal Palace,28-062,1996,0.3,76.7,63.3,13.3,0,3.33,0,3.33,13.3,0,0,0,0,50,0,0,Matches
88,Chiquinho,pt POR,MF,Wolves,25-016,2000,0.1,30,30,0,0,0,0,10,0,0,0,0,0,30,0,0,Matches
89,Hamza Choudhury,eng ENG,"MF,DF",Leicester City,27-143,1997,1.5,56,54,2,0,0,0,3.33,2,0,0,0,0,48,0,0.67,Matches
90,Ryan Christie,sct SCO,MF,Bournemouth,29-365,1995,20.4,44.4,41.8,2.35,0.78,0.25,0.39,1.86,0.15,1.03,0.59,0.15,0.1,35.4,0.29,0.88,Matches
91,Harry Clarke,eng ENG,DF,Ipswich Town,23-356,2001,4.2,56.2,50.2,5.95,0.48,0.24,0,1.19,5.48,0,0,0,0,45.2,0,0.95,Matches
92,Jack Clarke,eng ENG,"FW,MF",Ipswich Town,24-090,2000,7.1,30.1,28,1.97,0.28,0,0.28,1.27,0.7,0.7,0.7,0,0,23,0.14,1.55,Matches
93,Nathaniel Clyne,eng ENG,"DF,MF",Crystal Palace,33-322,1991,4.4,36.1,32.7,3.18,0,0.23,0.23,1.14,2.73,0,0,0,0,26.6,0.23,1.59,Matches
94,Conor Coady,eng ENG,DF,Leicester City,31-362,1993,8,54.6,53.3,1.13,1,0.13,0.25,0,0.13,0,0,0,0,48.9,0.25,0.5,Matches
95,Seamus Coleman,ie IRL,DF,Everton,36-133,1988,2.2,35.9,27.3,8.18,0,0,0,1.36,8.18,0,0,0,0,25.9,0.45,0.45,Matches
96,Nathan Collins,ie IRL,DF,Brentford,23-297,2001,25,55.2,52.7,2.28,1.72,0.08,0.16,0.24,0.44,0,0,0,0,47.5,0.2,0.24,Matches
97,Toby Collyer,eng ENG,MF,Manchester Utd,21-049,2004,1.4,45,43.6,1.43,0.71,0,0,0,0,0,0,0,0,40,0,1.43,Matches
98,Levi Colwill,eng ENG,DF,Chelsea,21-361,2003,23,78.6,73.3,5.09,2.3,0.13,0.26,0.39,0.22,0,0,0,0,70.3,0.13,0.78,Matches
99,Lewis Cook,eng ENG,"MF,DF",Bournemouth,28-018,1997,22.6,48.8,41.4,7.43,2.43,0.13,0.09,4.34,2.17,2.74,2.3,0.13,0,37.5,0.04,0.84,Matches
100,Maxwel Cornet,ci CIV,FW,Southampton,28-147,1996,0.8,27.5,25,2.5,0,0,0,3.75,0,2.5,2.5,0,0,21.3,0,0,Matches
101,Vladimir Coufal,cz CZE,DF,West Ham,32-183,1992,8.2,47.6,38.3,9.02,0.85,0,0,2.32,8.17,0,0,0,0,36.2,0.24,0.73,Matches
102,Woyo Coulibaly,fr FRA,DF,Leicester City,25-277,1999,0.7,42.9,32.9,10,0,0,0,0,10,0,0,0,0,37.1,0,0,Matches
103,Aaron Cresswell,eng ENG,DF,West Ham,35-068,1989,3.3,57,45.2,11.8,4.85,0.3,0.61,5.15,4.85,2.12,1.52,0.61,0,43.9,0,1.52,Matches
104,Marc Cucurella,es ESP,DF,Chelsea,26-214,1998,21,59.2,51.5,7.67,0.86,0.1,0,1.05,6.81,0,0,0,0,52.6,0.1,0.52,Matches
105,Jorge Cuenca,es ESP,DF,Fulham,25-096,1999,1,37,30,7,2,0,0,0,0,0,0,0,0,30,0,0,Matches
106,Matheus Cunha,br BRA,"MF,FW",Wolves,25-270,1999,21.8,37.6,31.6,5.69,1.7,0.46,0.5,4.45,0.92,2.11,1.1,0.69,0.09,26.8,0.32,1.15,Matches
107,Patson Daka,zm ZAM,"FW,MF",Leicester City,26-135,1998,3.5,18.3,16.3,2,0,0.57,0,0,1.43,0,0,0,0,12.6,0,1.43,Matches
108,Diogo Dalot,pt POR,DF,Manchester Utd,25-340,1999,23.6,55,46.8,8.09,0.55,0.13,0.3,1.78,7.54,0,0,0,0,44.5,0.17,1.27,Matches
109,Mikkel Damsgaard,dk DEN,"MF,FW",Brentford,24-233,2000,20.9,46.9,42.5,4.11,0.72,0.72,0.14,3.88,0.38,1.63,1.53,0,0,35.1,0.29,0.96,Matches
110,Danilo,br BRA,MF,Nott'ham Forest,23-298,2001,1.6,38.8,38.8,0,0,0,0,0.63,0,0,0,0,0,31.3,0,1.25,Matches
111,Jayden Danns,eng ENG,MF,Liverpool,19-036,2006,0.1,10,10,0,0,0,0,0,0,0,0,0,0,10,0,0,Matches
112,Kevin Danso,at AUT,DF,Tottenham,26-155,1998,0.9,66.7,63.3,3.33,3.33,0,1.11,1.11,0,0,0,0,0,58.9,0,1.11,Matches
113,Ben Davies,wls WAL,DF,Tottenham,31-303,1993,7,73,66.1,6.43,1.57,0.14,0.57,0.14,0.43,0,0,0,0,64.9,0.43,0.71,Matches
114,Leif Davis,eng ENG,DF,Ipswich Town,25-040,2000,23.5,41,31.1,9.7,1.7,0.13,0.09,4.72,5.32,2.68,1.87,0.43,0,29.5,0.17,0.68,Matches
115,Craig Dawson,eng ENG,DF,Wolves,34-291,1990,10.8,51.8,48.9,2.78,1.85,0.09,1.02,0,0,0,0,0,0,44.8,0.09,0,Matches
116,Kevin De Bruyne,be BEL,MF,Manchester City,33-238,1991,11.2,68.2,58.6,9.29,1.25,0.63,0.71,7.23,1.25,5.45,1.34,0.98,0.18,52.6,0.36,2.05,Matches
117,Liam Delap,eng ENG,FW,Ipswich Town,22-013,2003,20.5,10.9,10.6,0.24,0,0.34,0.05,0.05,0.1,0,0,0,0,6.78,0.05,0.34,Matches
118,Sepp van den Berg,nl NED,DF,Brentford,23-063,2001,19.5,44,39.7,4.26,0.51,0,0.1,0.31,2.82,0,0,0,0,37.2,0.05,0.21,Matches
119,Justin Devenny,nir NIR,MF,Crystal Palace,21-133,2003,3.5,38.6,33.1,4.86,1.43,0,0,4.57,0,2.57,1.14,1.14,0,27.1,0.57,0.57,Matches
120,Kiernan Dewsbury-Hall,eng ENG,MF,Chelsea,26-168,1998,1.8,51.1,50,0.56,0,0,0.56,0.56,0,0.56,0,0,0,43.9,0.56,0,Matches
121,Amad Diallo,ci CIV,"FW,MF",Manchester Utd,22-225,2002,17.7,44.9,40.8,3.79,0.17,0.11,0.06,2.15,2.03,1.58,1.24,0.06,0.06,37.2,0.23,0.96,Matches
122,Ruben Dias,pt POR,DF,Manchester City,27-283,1997,13.1,92.7,89.8,2.75,1.68,0,0.31,0.15,0.15,0,0,0,0,87.1,0.15,0.76,Matches
123,Luis Diaz,co COL,FW,Liverpool,28-039,1997,17.7,31.6,31,0.56,0.06,0.06,0.17,0.9,0.51,0,0,0,0,26.6,0.06,0.9,Matches
124,Tyler Dibling,eng ENG,"FW,MF",Southampton,18-346,2006,14.1,29.2,27.1,1.91,0.28,0.57,0.14,1.56,0.07,0.71,0.57,0,0,22.8,0.21,0.78,Matches
125,Lucas Digne,fr FRA,DF,Aston Villa,31-216,1993,21,51.6,41.3,10.3,1.76,0.05,0.14,6.05,5.76,2.67,1.71,0.48,0,38.5,0.05,1.67,Matches
126,Issa Diop,fr FRA,DF,Fulham,28-043,1997,11.9,52.4,50.7,1.76,1.6,0,0.08,0.08,0,0,0,0,0,45.7,0,0.17,Matches
127,Axel Disasi,fr FRA,DF,Aston Villa,26-347,1998,2,73.5,72,1,1,0.5,0,0,0,0,0,0,0,68,0.5,1,Matches
128,Axel Disasi,fr FRA,DF,Chelsea,26-347,1998,4,73.3,66.5,6.75,2.5,0,0.25,0,4.25,0,0,0,0,66.5,0,0.5,Matches
129,Roman Dixon,eng ENG,DF,Everton,20-057,2004,1,19,16,3,0,0,0,0,3,0,0,0,0,11,0,0,Matches
130,Matt Doherty,ie IRL,DF,Wolves,33-036,1992,13.9,54,48.2,5.47,1.58,0.07,0.94,1.08,3.88,0,0,0,0,43.9,0.29,0.86,Matches
131,Jeremy Doku,be BEL,"FW,MF",Manchester City,22-270,2002,8.9,45.1,44.6,0.22,0,0.67,0,3.37,0,0.22,0,0,0,36,0.22,2.02,Matches
132,Nicolas Dominguez,ar ARG,"MF,FW",Nott'ham Forest,26-238,1998,12.5,46.2,44.1,1.68,0.88,0.16,0,0.08,0.16,0,0,0,0,40,0.4,0.48,Matches
133,Patrick Dorgu,dk DEN,DF,Manchester Utd,20-118,2004,1,43,36,7,0,0,0,5,7,0,0,0,0,32,0,1,Matches
134,Alfie Dorrington,eng ENG,DF,Tottenham,19-307,2005,0.2,80,80,0,0,0,0,0,0,0,0,0,0,75,0,0,Matches
135,Abdoulaye Doucoure,ml MLI,MF,Everton,32-051,1993,19.7,33.2,32.4,0.61,0.15,0,0.05,0.86,0,0,0,0,0,26.7,0.2,1.02,Matches
136,Cheick Doucoure,ml MLI,MF,Crystal Palace,25-044,2000,5,40.8,40.2,0.6,0.6,0,0,0.2,0,0,0,0,0,34.8,0,0.8,Matches
137,Flynn Downes,eng ENG,MF,Southampton,26-032,1999,15.9,49.6,48,1.51,1.51,0.38,0.06,0.13,0,0,0,0,0,44.9,0.06,0.57,Matches
