Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
138,Tommy Doyle,eng ENG,MF,Wolves,23-127,2001,5.2,70.4,63.3,6.35,3.65,0,1.15,2.69,0.58,1.92,1.15,0.77,0,57.3,0.77,1.35,Matches
139,Radu Dragusin,ro ROU,DF,Tottenham,23-018,2002,13.9,60.4,57.1,3.38,2.88,0.07,0.22,0.07,0.22,0,0,0,0,51.5,0,0.36,Matches
140,Martin Dúbravka,sk SVK,GK,Newcastle Utd,36-037,1989,10,33.3,24.6,8.6,2.7,0,0.1,0,0,0,0,0,0,26.5,0.1,0,Matches
141,Lewis Dunk,eng ENG,DF,Brighton,33-092,1991,17.4,84.6,78.4,6.03,2.93,0.06,0.34,0.11,0.4,0,0,0,0,77.2,0.17,0.4,Matches
142,Jader Duran,co COL,FW,Aston Villa,21-070,2003,7.1,23,21.8,0.99,0,0.28,0,0.42,0,0,0,0,0,16.2,0.14,0.56,Matches
143,Ederson,br BRA,GK,Manchester City,31-188,1993,16,37.8,33.4,4.38,1.5,0,0.06,0,0,0,0,0,0,32.6,0,0.06,Matches
144,George Edmundson,eng ENG,DF,Ipswich Town,27-174,1997,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,1,Matches
145,Odsonne Edouard,fr FRA,"MF,FW",Crystal Palace,27-036,1998,1.3,21.5,21.5,0,0,0,0,0.77,0,0,0,0,0,13.1,0,1.54,Matches
146,Odsonne Edouard,fr FRA,FW,Leicester City,27-036,1998,0.3,26.7,26.7,0,0,0,0,0,0,0,0,0,0,20,0,3.33,Matches
147,Samuel Edozie,eng ENG,"DF,FW",Southampton,22-024,2003,0.7,47.1,47.1,0,0,0,0,5.71,0,0,0,0,0,35.7,0,2.86,Matches
148,Ronnie Edwards,eng ENG,DF,Southampton,21-330,2003,0.1,50,50,0,0,0,0,0,0,0,0,0,0,50,0,0,Matches
149,Anthony Elanga,se SWE,"FW,MF",Nott'ham Forest,22-300,2002,17.2,29.5,24.8,4.59,1.16,0.12,0,6.74,0.12,3.14,2.03,1.05,0,18.8,0.12,1.05,Matches
150,Harvey Elliott,eng ENG,"MF,FW",Liverpool,21-323,2003,0.9,110,97.8,11.1,1.11,0,3.33,10,4.44,4.44,2.22,1.11,0,86.7,1.11,1.11,Matches
151,Yunus Emre Konak,tr TUR,"MF,FW",Brentford,19-042,2006,0.2,85,80,5,0,0,0,0,5,0,0,0,0,60,0,5,Matches
152,Julio Enciso,py PAR,"MF,FW",Ipswich Town,21-029,2004,1.3,50,44.6,4.62,0.77,0.77,0,2.31,0,2.31,1.54,0,0,36.9,0.77,2.31,Matches
153,Julio Enciso,py PAR,"MF,FW",Brighton,21-029,2004,3.3,45.5,40.6,4.85,1.21,0,0.3,6.06,0,3.64,1.82,0.91,0,30,0,1.52,Matches
154,Wataru Endo,jp JPN,MF,Liverpool,32-012,1993,1.2,53.3,53.3,0,0,0,0,0,0,0,0,0,0,49.2,0,0.83,Matches
155,Christian Eriksen,dk DEN,MF,Manchester Utd,33-007,1992,7.1,63.2,54.8,8.45,2.39,0.56,0.7,6.9,0.42,5.35,1.97,1.83,0.7,51.3,0,0.42,Matches
156,Romain Esse,eng ENG,MF,Crystal Palace,19-284,2005,0.1,40,40,0,0,0,0,0,0,0,0,0,0,30,0,0,Matches
157,Pervis Estupinan,ec ECU,DF,Brighton,27-031,1998,15.7,61.7,52.4,9.24,0.89,0,0.32,5.29,6.5,1.85,1.4,0.32,0,51.7,0.06,1.15,Matches
158,Evanilson,br BRA,FW,Bournemouth,25-138,1999,15.2,12.9,12.8,0.07,0,0.26,0.13,0,0,0,0,0,0,8.75,0.07,0.53,Matches
159,Jonny Evans,nir NIR,DF,Manchester Utd,37-049,1988,3.2,61.3,55.3,5.94,1.56,0,0,0,0.94,0,0,0,0,54.4,0,0.31,Matches
160,Eberechi Eze,eng ENG,"MF,FW",Crystal Palace,26-237,1998,18.4,39.7,32.1,7.07,2.72,0.38,0.22,4.35,0.16,2.45,1.36,0.54,0,29.7,0.54,0.76,Matches
161,Lukasz Fabianski,pl POL,GK,West Ham,39-309,1985,11.9,38.2,27,11.1,3.19,0,0,0,0,0,0,0,0,25.5,0.08,0,Matches
162,Wout Faes,be BEL,DF,Leicester City,26-324,1998,19.3,49.1,47.4,1.66,0.78,0.1,0.16,0.1,0.21,0,0,0,0,42.5,0.05,0.26,Matches
163,Abdul Fatawu Issahaku,gh GHA,FW,Leicester City,20-350,2004,6.4,30.8,29.1,1.72,0.16,0.31,0.31,4.69,1.41,0.16,0,0,0,19.2,0,2.81,Matches
164,Joao Felix,pt POR,"FW,MF",Chelsea,25-103,1999,4.1,48.5,47.1,1.22,0.49,0.49,0.24,0,0.73,0,0,0,0,41.7,0.24,1.22,Matches
165,Evan Ferguson,ie IRL,FW,West Ham,20-125,2004,0.5,18,18,0,0,0,0,0,0,0,0,0,0,14,0,0,Matches
166,Evan Ferguson,ie IRL,FW,Brighton,20-125,2004,2.7,21.5,19.3,1.85,0,0,0,0,0,0,0,0,0,15.9,0.37,0.37,Matches
167,Bruno Fernandes,pt POR,MF,Manchester Utd,30-166,1994,22.4,64.7,57.7,6.43,2.72,0.58,0.58,5.36,0.58,2.41,1.29,0.45,0.13,48.3,0.54,1.56,Matches
168,Mateus Fernandes,pt POR,MF,Southampton,20-226,2004,20.3,43.6,38,5.62,1.97,0.39,0.25,4.04,0.3,2.07,1.43,0.59,0,34.5,0,1.13,Matches
169,Enzo Fernandez,ar ARG,MF,Chelsea,24-035,2001,19.8,63,58,4.6,1.97,0.51,0.91,2.83,0.15,2.42,1.82,0,0,51.1,0.35,1.26,Matches
170,Mark Flekken,nl NED,GK,Brentford,31-253,1993,23.4,49,39.5,9.23,3.72,0,0.21,0,0,0,0,0,0,35.9,0.26,0,Matches
171,Phil Foden,eng ENG,"MF,FW",Manchester City,24-269,2000,16,48.7,44.3,4.31,1.13,0.44,0.13,4,0.25,2.31,1.44,0.44,0,41.4,0.13,1.25,Matches
172,Wesley Fofana,fr FRA,DF,Chelsea,24-066,2000,11.3,62.2,58.9,3.19,1.86,0,0,0.09,1.24,0,0,0,0,55.8,0.09,0.35,Matches
173,Carlos Forbs,pt POR,"MF,FW",Wolves,20-339,2004,2.6,33.5,32.7,0.77,0,0,0,3.46,0.77,0,0,0,0,21.5,0,3.46,Matches
174,Fraser Forster,eng ENG,GK,Tottenham,36-341,1988,7,28.3,17.9,10.3,2.29,0,0.14,0,0,0,0,0,0,24,0.14,0,Matches
175,Ryan Fraser,sct SCO,"FW,DF",Southampton,30-363,1994,3.4,30.3,28.5,1.47,0,0,0,3.53,0.88,0.59,0.59,0,0,22.6,0.29,0.59,Matches
176,Niclas Fullkrug,de GER,FW,West Ham,32-012,1993,4.1,18.8,17.1,1.71,0,0,0.24,0,0,0,0,0,0,12.9,0,0.49,Matches
177,Cody Gakpo,nl NED,FW,Liverpool,25-290,1999,15.2,30.7,29.8,0.72,0.13,0.13,0.26,3.55,0.53,0.07,0,0,0,23.3,0.13,0.59,Matches
178,Idrissa Gana Gueye,sn SEN,MF,Everton,35-148,1989,21.4,41.7,40.3,1.12,0.23,0.09,0.19,0.23,0.28,0,0,0,0,35.7,0.28,0.79,Matches
179,Andres Garcia,es ESP,DF,Aston Villa,22-014,2003,2.2,59.5,55,4.55,0,0,0,6.82,4.55,0,0,0,0,50.5,0,1.82,Matches
180,Alejandro Garnacho,ar ARG,"FW,MF",Manchester Utd,20-235,2004,15.7,32.2,31.3,0.83,0.13,0.06,0.51,1.85,0.64,0.06,0.06,0,0,25.2,0.06,2.04,Matches
181,James Garner,eng ENG,"MF,DF",Everton,23-345,2001,5.8,40,32.6,7.07,0.69,0.34,0.17,3.62,4.14,1.21,0.34,0.69,0.17,26.6,0.34,2.24,Matches
182,Tyrique George,eng ENG,FW,Chelsea,19-017,2006,0.4,45,42.5,2.5,0,0,0,5,2.5,0,0,0,0,37.5,0,0,Matches
183,Morgan Gibbs-White,eng ENG,MF,Nott'ham Forest,25-025,2000,18.4,43,42.2,0.43,0.22,0.71,0.38,1.2,0.05,0,0,0,0,34.1,0.38,0.82,Matches
184,Billy Gilmour,sct SCO,MF,Brighton,23-255,2001,1.1,60.9,59.1,1.82,0.91,0.91,1.82,0.91,0,0.91,0.91,0,0,52.7,0,0,Matches
185,Ben Godfrey,eng ENG,DF,Ipswich Town,27-037,1998,0.7,62.9,55.7,7.14,1.43,0,0,0,5.71,0,0,0,0,52.9,0,0,Matches
186,Martial Godo,eng ENG,FW,Fulham,21-344,2003,0.2,25,25,0,0,0,0,5,0,0,0,0,0,15,0,0,Matches
187,Joao Gomes,br BRA,MF,Wolves,24-009,2001,21.5,46.8,44.8,1.91,0.93,0.14,0.23,0.84,0.51,0,0,0,0,39.7,0.09,0.7,Matches
188,Rodrigo Gomes,pt POR,"DF,FW",Wolves,21-229,2003,6.3,34.3,31.1,3.17,0.16,0.16,0,2.86,2.86,0.16,0,0.16,0,22.4,0,1.11,Matches
189,Toti Gomes,pt POR,DF,Wolves,26-036,1999,16,54.8,50.8,3.94,1.38,0,0.06,0.44,1.69,0,0,0,0,45.9,0.06,0.63,Matches
190,Diego Gómez,py PAR,MF,Brighton,21-331,2003,0.7,67.1,67.1,0,0,0,0,1.43,0,0,0,0,0,51.4,0,2.86,Matches
191,Joe Gomez,eng ENG,DF,Liverpool,27-274,1997,5.8,73.3,70,3.1,2.07,0.17,0.86,0.34,1.03,0,0,0,0,65,0.17,0.34,Matches
192,Nicolas Gonzalez,es ESP,MF,Manchester City,23-049,2002,1,103,99,4,4,0,0,0,0,0,0,0,0,100,0,1,Matches
193,Anthony Gordon,eng ENG,FW,Newcastle Utd,23-363,2001,21.4,35.9,31.2,4.44,0.93,0.42,0.14,4.86,1.31,2.01,1.26,0.33,0,25.9,0.33,1.4,Matches
194,Ryan Gravenberch,nl NED,MF,Liverpool,22-281,2002,24.7,55.7,54.7,0.97,0.57,0.28,0.12,0.2,0.24,0,0,0,0,49.8,0.04,0.53,Matches
195,Archie Gray,eng ENG,DF,Tottenham,18-346,2006,10.8,68.1,63.1,4.91,2.13,0,0,0.46,2.13,0,0,0,0,60.4,0.09,1.2,Matches
196,Jack Grealish,eng ENG,"FW,MF",Manchester City,29-164,1995,6.8,54.3,51.9,2.35,0.44,0,0,2.94,0.59,1.32,0.59,0,0,47.2,0,1.47,Matches
197,Jacob Greaves,eng ENG,DF,Ipswich Town,24-162,2000,15,45.4,42.3,3,1.6,0,0,0,0.2,0,0,0,0,39.3,0.13,0.2,Matches
198,Brajan Gruda,de GER,"FW,MF",Brighton,20-266,2004,4.1,33.9,29.5,4.39,1.22,0,0.24,3.17,1.71,1.22,0.24,0.98,0,24.6,0,0.24,Matches
199,Albert Gronbaek,dk DEN,MF,Southampton,23-274,2001,0.8,12.5,12.5,0,0,0,0,0,0,0,0,0,0,11.3,0,1.25,Matches
200,Gonçalo Guedes,pt POR,"MF,FW",Wolves,28-084,1996,8.2,29.4,26.3,2.8,0,0,0.49,1.95,0.85,0.12,0.12,0,0,21.6,0.24,0.61,Matches
201,Marc Guehi,eng ENG,DF,Crystal Palace,24-223,2000,24,54,51,2.83,2.46,0.21,0.46,0.42,0.13,0,0,0,0,44.5,0.21,0.25,Matches
202,Luis Guilherme,br BRA,"MF,FW",West Ham,19-012,2006,0.6,45,41.7,3.33,0,0,0,8.33,0,3.33,0,3.33,0,36.7,0,1.67,Matches
203,Bruno Guimaraes,br BRA,MF,Newcastle Utd,27-097,1997,24,49.8,47,2.63,2.42,0.83,0.38,0.63,0.08,0.08,0.04,0,0,41.2,0.17,1.25,Matches
204,Marc Guiu,es ESP,FW,Chelsea,19-048,2006,0.8,20,17.5,2.5,0,0,0,0,0,0,0,0,0,13.8,0,0,Matches
205,Ilkay Gundogan,de GER,MF,Manchester City,34-120,1990,15.9,72.6,67.9,4.59,1.38,0.44,0.19,2.83,0.13,2.26,1.51,0.19,0,65,0.19,0.94,Matches
206,Malo Gusto,fr FRA,DF,Chelsea,21-278,2003,15.2,68,59.5,8.42,1.97,0.07,0.2,2.43,6.45,0,0,0,0,58.8,0.07,1.38,Matches
207,Josko Gvardiol,hr CRO,DF,Manchester City,23-029,2002,23.4,73.8,68.1,5.51,1.07,0.04,0.13,0.81,4.44,0,0,0,0,66.8,0.21,0.9,Matches
208,Erling Haaland,no NOR,FW,Manchester City,24-215,2000,24.6,12.1,11.8,0.24,0,0.04,0,0.12,0.04,0,0,0,0,7.85,0.04,0.28,Matches
209,Lewis Hall,eng ENG,DF,Newcastle Utd,20-166,2004,22.3,65.8,54,11.6,2.83,0.13,0.09,4.57,6.37,2.38,1.93,0.09,0,53.8,0.22,1.08,Matches
210,Ali Al Hamadi,iq IRQ,FW,Ipswich Town,22-357,2002,1.5,20,20,0,0,0,0,0,0,0,0,0,0,16.7,0,0.67,Matches
211,Marcus Harness,eng ENG,MF,Ipswich Town,28-363,1996,0.5,32,32,0,0,0,0,0,0,0,0,0,0,20,0,2,Matches
212,Jack Harrison,eng ENG,FW,Everton,28-093,1996,12.8,26.4,24.8,1.17,0.47,0.23,0,3.75,0.23,0.39,0.31,0,0.08,17,0.47,1.48,Matches
213,Taylor Harwood-Bellis,eng ENG,DF,Southampton,23-022,2002,21.1,74,71.4,2.61,2.23,0.14,0.33,0.43,0.28,0,0,0,0,65.2,0.05,0.38,Matches
214,Kai Havertz,de GER,"FW,MF",Arsenal,25-255,1999,20.4,25,24.7,0.29,0.05,0.05,0,0.54,0.25,0,0,0,0,19.7,0.1,0.54,Matches
215,Jan Paul van Hecke,nl NED,DF,Brighton,24-258,2000,21.9,73,68.4,4.57,3.42,0.14,0.59,0.46,0.32,0,0,0,0,65.1,0.05,0.18,Matches
216,Hwang Hee-chan,kr KOR,"MF,FW",Wolves,29-026,1996,6.9,27,24.9,1.88,0.29,0.14,0,1.16,0.87,0,0,0,0,21.9,0.14,1.16,Matches
217,Dean Henderson,eng ENG,GK,Crystal Palace,27-346,1997,25,32.2,22.3,9.88,2.44,0,0,0,0,0,0,0,0,19.7,0.04,0,Matches
218,Rico Henry,eng ENG,DF,Brentford,27-228,1997,0,5,3,2,0,0,0,0,2,0,0,0,0,2,0,0,Matches
219,Mads Hermansen,dk DEN,GK,Leicester City,24-225,2000,17.5,39.3,30.1,9.03,3.31,0,0.06,0,0,0,0,0,0,24.6,0.17,0,Matches
220,Son Heung-min,kr KOR,FW,Tottenham,32-228,1992,18.6,39.6,36.8,2.74,0.54,0.22,0.16,3.12,0.48,1.45,1.08,0,0,31.6,0.05,1.24,Matches
221,James Hill,eng ENG,"DF,MF",Bournemouth,23-042,2002,2,46.5,37,9.5,0.5,0,0,3,9,0,0,0,0,27.5,0,2,Matches
222,Jack Hinshelwood,eng ENG,"MF,DF",Brighton,19-316,2005,10.8,53,46.7,6.2,1.94,0,0.65,1.94,2.78,0.74,0.37,0.09,0.09,44.3,0.09,0.46,Matches
223,George Hirst,eng ENG,FW,Ipswich Town,26-006,1999,2.6,20,20,0,0,0,0,0.38,0,0,0,0,0,10.8,0,0.77,Matches
224,Mason Holgate,eng ENG,"FW,DF",Everton,28-122,1996,0.1,20,0,20,0,0,0,0,20,0,0,0,0,20,0,0,Matches
225,Callum Hudson-Odoi,eng ENG,"FW,MF",Nott'ham Forest,24-106,2000,17.2,35.9,34.8,0.87,0.06,0.12,0.17,3.26,0.17,0.23,0.17,0.06,0,29.7,0.17,0.76,Matches
226,Will Hughes,eng ENG,MF,Crystal Palace,29-310,1995,16.6,43.4,38.6,4.52,1.45,0.06,0.12,3.13,0,2.29,1.51,0.12,0,33.4,0.3,0.42,Matches
227,Dean Huijsen,es ESP,DF,Bournemouth,19-313,2005,14.8,56.2,54.3,1.82,1.28,0.07,0.68,0.41,0.14,0,0,0,0,47,0.14,0.41,Matches
228,Omari Hutchinson,eng ENG,"MF,FW",Ipswich Town,21-114,2003,21.7,28.5,26.2,2.12,0,0.18,0.09,2.17,0.14,0,0,0,0,22,0.23,1.47,Matches
229,Rasmus Hojlund,dk DEN,FW,Manchester Utd,22-017,2003,13.3,15.2,14,1.13,0,0.15,0,0.3,0,0,0,0,0,11.7,0.08,0.38,Matches
230,Igor,br BRA,DF,Brighton,27-014,1998,10,68.2,63.4,4.6,1.2,0.3,0.3,0.2,0.9,0,0,0,0,62.8,0.2,0.5,Matches
231,Danny Ings,eng ENG,"FW,MF",West Ham,32-213,1992,3.1,28.7,26.8,1.61,0,0.32,0,0.97,0,0,0,0,0,19.4,0.32,1.29,Matches
232,Tim Iroegbunam,eng ENG,MF,Everton,21-236,2003,4.6,26.1,25.7,0,0,0,0,0,0,0,0,0,0,18.3,0.43,0.87,Matches
233,Andy Irving,sct SCO,MF,West Ham,24-284,2000,1.8,67.2,65,1.11,1.11,0.56,0,1.11,0,0,0,0,0,58.9,1.11,0.56,Matches
234,Alexander Isak,se SWE,FW,Newcastle Utd,25-153,1999,21,23.1,20.1,2.71,0,0.24,0.1,0.52,0.38,0.14,0,0,0,17,0.24,0.76,Matches
235,Alex Iwobi,ng NGA,"FW,MF",Fulham,28-294,1996,23.4,46.4,44.9,1.28,0.26,0.47,0.64,3.5,0.81,0.09,0,0.04,0,35,0.21,1.54,Matches
236,Nicolas Jackson,sn SEN,FW,Chelsea,23-246,2001,19.3,16,15.4,0.47,0.05,0.05,0,0.16,0.1,0,0,0,0,12,0.1,0.62,Matches
237,Reece James,eng ENG,DF,Chelsea,25-075,1999,5.7,82.8,69.5,13,3.68,0.53,0.18,4.91,6.84,2.46,1.93,0.18,0.18,69.6,0.35,0.53,Matches
238,Vitaly Janelt,de GER,MF,Brentford,26-287,1998,19.9,42.2,41.1,0.8,0.5,0.15,0.3,1.31,0.3,0,0,0,0,34.7,0.25,0.5,Matches
239,Vitezslav Jaros,cz CZE,GK,Liverpool,23-213,2001,0.1,80,70,10,0,0,0,0,0,0,0,0,0,60,0,0,Matches
240,Daniel Jebbison,eng ENG,"FW,MF",Bournemouth,21-192,2003,0.7,35.7,35.7,0,0,0,0,1.43,0,0,0,0,0,30,0,0,Matches
241,Mathias Jensen,dk DEN,MF,Brentford,29-051,1996,8,49,41,7.63,1.25,0.13,0.38,3.63,4.13,1.63,1.25,0,0,36.5,0.38,0.75,Matches
242,Gabriel Jesus,br BRA,FW,Arsenal,27-324,1997,6.8,29.9,29,0.44,0,0.15,0,1.03,0.44,0,0,0,0,22.9,0.44,1.76,Matches
243,Raul Jimenez,mx MEX,FW,Fulham,33-292,1991,17.7,23.6,23.3,0.23,0.11,0.17,0.06,0.85,0.11,0,0,0,0,16.6,0.06,1.24,Matches
244,Kim Jisoo,kr KOR,DF,Brentford,20-059,2004,0.3,90,86.7,3.33,3.33,0,0,0,0,0,0,0,0,80,0,0,Matches
245,Joao Pedro,br BRA,"FW,MF",Brighton,23-148,2001,15.1,30.7,29.3,1.32,0.33,0.4,0.07,1.19,0.33,0.26,0,0,0,22.7,0.07,0.79,Matches
246,Joelinton,br BRA,"MF,FW",Newcastle Utd,28-191,1996,21.3,39.4,38.2,1.08,0.42,0.33,0.05,0.66,0.61,0,0,0,0,32.8,0.09,0.8,Matches
247,Ben Johnson,eng ENG,"DF,FW",Ipswich Town,25-028,2000,10.2,29.6,23.2,6.37,0.69,0.1,0.29,1.47,5.39,0.29,0.29,0,0,22.2,0,1.47,Matches
248,Brennan Johnson,wls WAL,FW,Tottenham,23-274,2001,16.9,26.9,26.3,0.41,0,0,0,2.31,0.41,0,0,0,0,19.1,0.12,1.89,Matches
249,Sam Johnstone,eng ENG,GK,Wolves,31-333,1993,7,39.7,32.9,6.71,3.14,0,0,0,0,0,0,0,0,26.3,0.14,0.29,Matches
250,Curtis Jones,eng ENG,MF,Liverpool,24-022,2001,11.6,52.4,49.9,2.41,0.34,0.09,0.09,0.34,0.86,0.09,0,0,0,49.2,0.09,0.52,Matches
251,Jorginho,it ITA,MF,Arsenal,33-063,1991,5.3,58.9,58.1,0.75,0.57,0.38,0.19,0,0,0,0,0,0,50.6,0,0.75,Matches
252,Diogo Jota,pt POR,FW,Liverpool,28-079,1996,8.4,25,24.5,0.36,0,0,0.24,0.83,0.12,0,0,0,0,17.6,0.12,1.31,Matches
253,James Justin,eng ENG,DF,Leicester City,26-364,1998,22.4,47.2,38.4,8.66,0.71,0.04,0.09,1.65,7.95,0,0,0,0,36.7,0.09,1.12,Matches
254,Filip Jorgensen,dk DEN,GK,Chelsea,22-311,2002,4,31.8,27.8,4,0.25,0,0,0,0,0,0,0,0,27.5,0,0,Matches
255,Ferdi Kadioglu,tr TUR,"DF,MF",Brighton,25-137,1999,4.3,40.7,36.5,3.95,0.47,0.23,0,2.09,3.49,0,0,0,0,33.5,0.23,0.23,Matches
256,Daichi Kamada,jp JPN,MF,Crystal Palace,28-200,1996,10.4,44.5,42.5,1.92,0.77,0.29,0.38,1.92,0.19,0.87,0.48,0.1,0,35.3,0.1,1.06,Matches
257,Boubacar Kamara,fr FRA,"MF,DF",Aston Villa,25-090,1999,11.7,52.6,50.8,1.79,1.62,0.09,0,0.09,0,0,0,0,0,47.4,0,0.43,Matches
258,Michael Kayode,it ITA,DF,Brentford,20-226,2004,0.2,80,60,20,0,0,0,15,20,0,0,0,0,40,0,0,Matches
259,Michael Keane,eng ENG,DF,Everton,32-041,1993,9,34.3,33.8,0.11,0.11,0,1.22,0.11,0,0,0,0,0,28.1,0.44,0.56,Matches
260,Caoimhin Kelleher,ie IRL,GK,Liverpool,26-090,1998,8,37,33.1,3.88,2,0,0,0,0,0,0,0,0,27.6,0,0.13,Matches
261,Lloyd Kelly,eng ENG,DF,Newcastle Utd,26-138,1998,3.4,53.2,46.8,6.47,2.06,0,0,0.29,4.41,0,0,0,0,42.9,0,1.47,Matches
262,Milos Kerkez,hu HUN,DF,Bournemouth,21-106,2003,24.2,45,37,7.81,0.41,0.08,0.04,3.02,7.4,0,0,0,0,34.6,0.17,1.28,Matches
263,Bilal El Khannouss,ma MAR,MF,Leicester City,20-287,2004,13.2,44.8,38.9,5.83,1.14,0.38,0.38,3.11,0.76,1.06,0.68,0.23,0.08,33.7,0.08,1.36,Matches
264,Abdukodir Khusanov,uz UZB,DF,Manchester City,20-358,2004,1.6,71.9,71.3,0.63,0,0,0,0,0,0,0,0,0,65,0,0.63,Matches
265,Max Kilman,eng ENG,DF,West Ham,27-274,1997,24.2,51.4,50.2,1.07,0.74,0,0.45,0,0.04,0,0,0,0,44,0.12,0.21,Matches
266,Joshua King,eng ENG,"MF,FW",Fulham,18-049,2007,0.9,41.1,41.1,0,0,0,0,1.11,0,0,0,0,0,35.6,0,0,Matches
267,Antonin Kinsky,cz CZE,GK,Tottenham,21-345,2003,4,36.3,30.8,5.5,0.75,0,0,0,0,0,0,0,0,29,0,0.25,Matches
268,Jakub Kiwior,pl POL,DF,Arsenal,25-006,2000,3.6,48.6,46.4,1.94,0.56,0,0.28,0,0.56,0,0,0,0,40.8,0.28,0,Matches
269,Justin Kluivert,nl NED,"MF,FW",Bournemouth,25-292,1999,17.8,27.2,24,2.87,0.17,0.11,0.22,2.87,0.34,0.9,0.79,0,0,19.6,0.34,0.79,Matches
270,Ibrahima Konaté,fr FRA,DF,Liverpool,25-272,1999,18,67.5,65.6,1.89,1.72,0,0.17,0,0.17,0,0,0,0,60.7,0.06,0.33,Matches
271,Ezri Konsa,eng ENG,DF,Aston Villa,27-121,1997,21.1,51.6,47,4.6,2.7,0.28,0,0.24,1.61,0,0,0,0,47.4,0.05,0.85,Matches
272,Mateo Kovacic,hr CRO,MF,Manchester City,30-291,1994,17.2,76.5,74.9,1.4,1.34,0.47,0.23,0,0,0,0,0,0,71.3,0.17,0.58,Matches
273,Caleb Kporha,eng ENG,DF,Crystal Palace,18-221,2006,0.1,70,60,10,0,0,0,20,10,0,0,0,0,50,0,0,Matches
